ensembl_id,gene_symbol,logFC,padj,score,pct_activated
ENSG00000179914,ITLN1,2.541442,0.0,94.65723,
ENSG00000188257,PLA2G2A,3.1468735,0.0,88.78198,
ENSG00000205542,TMSB4X,2.6006303,0.0,88.42575,
ENSG00000124107,SLPI,3.4847553,0.0,84.4437,
ENSG00000102265,TIMP1,3.0408688,0.0,82.87071,
ENSG00000137818,RPLP1,2.136155,0.0,81.346436,
ENSG00000197956,S100A6,2.886429,0.0,80.63951,
ENSG00000166710,B2M,2.0785143,0.0,77.69661,
ENSG00000133112,TPT1,1.9214472,0.0,77.23627,
ENSG00000167526,RPL13,1.8952441,0.0,76.57455,
ENSG00000112306,RPS12,2.2744596,0.0,76.5087,
ENSG00000100316,RPL3,2.3452954,0.0,75.77508,
ENSG00000109475,RPL34,2.212732,0.0,72.78229,
ENSG00000213145,CRIP1,2.5974872,0.0,70.87839,
ENSG00000231500,RPS18,2.265592,0.0,70.152954,
ENSG00000105372,RPS19,2.3366616,0.0,69.9568,
ENSG00000142541,RPL13A,1.9965557,0.0,69.374405,
ENSG00000156508,EEF1A1,2.0180292,0.0,68.62688,
ENSG00000229117,RPL41,2.3333137,0.0,68.42334,
ENSG00000143947,RPS27A,2.2050545,0.0,67.871666,
ENSG00000147403,RPL10,2.159051,0.0,67.848755,
ENSG00000177954,RPS27,2.2604325,0.0,67.49975,
ENSG00000257017,HP,3.2255816,0.0,66.404396,
ENSG00000164587,RPS14,2.018307,0.0,66.20143,
ENSG00000149131,SERPING1,2.3177383,0.0,65.93243,
ENSG00000197756,RPL37A,1.7733135,0.0,65.127464,
ENSG00000186468,RPS23,2.1440005,0.0,64.75833,
ENSG00000142676,RPL11,2.11874,0.0,64.500435,
ENSG00000102854,MSLN,2.6490135,0.0,64.34898,
ENSG00000138326,RPS24,1.8878834,0.0,63.789608,
ENSG00000137154,RPS6,2.116578,0.0,63.690205,
ENSG00000171858,RPS21,2.3262734,0.0,63.422276,
ENSG00000142937,RPS8,2.143586,0.0,62.750107,
ENSG00000145592,RPL37,2.0490108,0.0,62.267025,
ENSG00000148303,RPL7A,2.2735975,0.0,62.21851,
ENSG00000161970,RPL26,2.107101,0.0,62.21707,
ENSG00000089157,RPLP0,2.1785395,0.0,62.20386,
ENSG00000108107,RPL28,1.9170567,0.0,62.10551,
ENSG00000240583,AQP1,2.1765578,0.0,61.964497,
ENSG00000265681,RPL17,2.086075,0.0,61.06997,
ENSG00000063177,RPL18,2.1386664,0.0,60.94253,
ENSG00000169908,TM4SF1,1.8626904,0.0,60.90065,
ENSG00000115268,RPS15,2.0447636,0.0,60.702614,
ENSG00000170889,RPS9,1.9963508,0.0,60.28617,
ENSG00000101439,CST3,2.1516745,0.0,60.21273,
ENSG00000187514,PTMA,1.9571289,0.0,60.104813,
ENSG00000184009,ACTG1,2.0684938,0.0,59.587307,
ENSG00000144713,RPL32,1.939191,0.0,59.313168,
ENSG00000075624,ACTB,1.9793795,0.0,59.277103,
ENSG00000149273,RPS3,2.0642264,0.0,59.201298,
ENSG00000108298,RPL19,2.1175206,0.0,58.90937,
ENSG00000174748,RPL15,2.1318967,0.0,58.288654,
ENSG00000142089,IFITM3,2.5678475,0.0,58.010162,
ENSG00000145425,RPS3A,2.0845823,0.0,58.010128,
ENSG00000130255,RPL36,1.8813493,0.0,57.955807,
ENSG00000148671,ADIRF,1.926642,0.0,57.662445,
