ensembl_id,gene_symbol,importance
ENSG00000107317,PTGDS,1.4373522
ENSG00000109846,CRYAB,1.0618181
ENSG00000102854,MSLN,1.0488182
ENSG00000156885,COX6A2,0.89550966
ENSG00000188257,PLA2G2A,0.863252
ENSG00000115414,FN1,0.8027003
ENSG00000102265,TIMP1,0.763744
ENSG00000169908,TM4SF1,0.7599991
ENSG00000116690,PRG4,0.71218354
ENSG00000149131,SERPING1,0.700276
ENSG00000124107,SLPI,0.6745297
ENSG00000171345,KRT19,0.6187198
ENSG00000159403,C1R,0.61562234
ENSG00000240583,AQP1,0.51898503
ENSG00000163347,CLDN1,0.50001746
ENSG00000243566,UPK3B,0.43474075
ENSG00000125730,C3,0.41679302
ENSG00000159251,ACTC1,0.38445944
ENSG00000198336,MYL4,0.3728149
ENSG00000118194,TNNT2,0.3576077
ENSG00000156467,UQCRB,0.31784236
ENSG00000179914,ITLN1,0.2375603
ENSG00000148180,GSN,0.21692906
ENSG00000175084,DES,0.21343344
ENSG00000189043,NDUFA4,0.20734511
ENSG00000198626,RYR2,0.20577025
ENSG00000080493,SLC4A4,0.19379412
ENSG00000182197,EXT1,0.18352805
ENSG00000021645,NRXN3,0.16219743
ENSG00000196730,DAPK1,0.16178125
ENSG00000114854,TNNC1,0.1585423
ENSG00000173991,TCAP,0.13851206
ENSG00000169744,LDB2,0.110423274
ENSG00000212907,MT-ND4L,0.10470874
ENSG00000150625,GPM6A,0.096721984
ENSG00000258751,ENSG00000258751,0.094804555
ENSG00000185052,SLC24A3,0.08883698
ENSG00000183023,SLC8A1,0.0839328
ENSG00000151322,NPAS3,0.07273821
ENSG00000165966,PDZRN4,0.06957378
ENSG00000111961,SASH1,0.060777042
ENSG00000178568,ERBB4,0.054652527
ENSG00000198947,DMD,0.052658033
ENSG00000148677,ANKRD1,0.047723472
ENSG00000186153,WWOX,0.043408927
ENSG00000078328,RBFOX1,0.037061684
ENSG00000258859,LINC02296,0.027885392
ENSG00000197747,S100A10,0.026695436
ENSG00000114279,FGF12,0.025036141
ENSG00000185565,LSAMP,0.021051535
ENSG00000157445,CACNA2D3,0.02100805
ENSG00000113645,WWC1,0.019714713
ENSG00000169851,PCDH7,0.018926831
ENSG00000231607,DLEU2,0.018528063
