names,scores,logfoldchanges,pvals,pvals_adj,gene
ENSG00000145864,32.423725,4.092151,1.2711835388276235e-230,4.50977784069876e-226,GABRB2
ENSG00000233927,27.012417,1.6208059,1.0563838771932652e-160,1.249244360372849e-156,RPS28
ENSG00000177954,26.838758,1.7342792,1.141069545497977e-158,1.0120431066407932e-154,RPS27
ENSG00000229267,26.38653,3.2762632,1.956084785831368e-153,1.3879203989387888e-149,SNHG31
ENSG00000197616,26.12684,1.3484161,1.8069232911301836e-150,1.0684036266570922e-146,MYH6
ENSG00000112306,25.40902,1.5267211,2.0047562548285723e-142,1.0160391093221894e-138,RPS12
ENSG00000213741,24.873674,1.7616103,1.4340958901148643e-136,6.3596774867006305e-133,RPS29
ENSG00000188257,24.407875,1.6215461,1.410707905548567e-131,5.00476843651465e-128,PLA2G2A
ENSG00000142541,24.30414,1.3731925,1.7723815652105298e-130,5.716252798997633e-127,RPL13A
ENSG00000091986,23.359697,1.1415236,1.0984004786951789e-120,3.247329481889072e-117,CCDC80
ENSG00000130255,22.915052,1.4123545,3.2889855093929305e-116,8.975641455133307e-113,RPL36
ENSG00000223930,22.90324,2.045867,4.3133517641154046e-116,1.0930341466823016e-112,ENSG00000223930
ENSG00000197756,22.622252,1.2344149,2.6177233075214947e-113,6.191264652062671e-110,RPL37A
ENSG00000149131,22.372168,1.4624649,7.347823021692255e-111,1.6292419833786007e-107,SERPING1
ENSG00000142937,22.358421,1.4310751,9.998684923395184e-111,2.0866079119252408e-107,RPS8
ENSG00000140988,21.823967,1.3741951,1.3740864486467466e-105,2.7082480521467015e-102,RPS2
ENSG00000100316,21.746204,1.3145075,7.503857463085183e-105,1.4011281643045949e-101,RPL3
ENSG00000279168,21.248333,1.1467196,3.415824091920927e-100,6.059159565453937e-97,ENSG00000279168
ENSG00000109475,21.189913,1.2739395,1.183146386419753e-99,1.998784969095885e-96,RPL34
ENSG00000137818,21.139832,1.1822404,3.4229202645724833e-99,5.519770101192636e-96,RPLP1
ENSG00000206538,21.084032,1.3638157,1.1147055400526886e-98,1.7194090628021405e-95,VGLL3
ENSG00000231500,21.07739,1.3355819,1.2826150652878529e-98,1.8959722779673816e-95,RPS18
ENSG00000166441,20.51461,1.3443862,1.5943834284083805e-93,2.2625576355857647e-90,RPL27A
ENSG00000151474,20.481821,1.3026434,3.127431956223061e-93,4.267380904266367e-90,FRMD4A
ENSG00000185565,20.261122,1.0849103,2.8342774345625674e-91,3.7241355757768966e-88,LSAMP
ENSG00000161970,20.154694,1.300667,2.447681792746657e-90,3.1013002486168983e-87,RPL26
ENSG00000228253,20.06193,1.5888187,1.5879753476244218e-89,1.9426414278507452e-86,MT-ATP8
ENSG00000142676,19.964819,1.2635314,1.1142978062083666e-88,1.3177314423618074e-85,RPL11
ENSG00000174748,19.960257,1.3604996,1.2208396573714227e-88,1.397152533050515e-85,RPL15
ENSG00000159251,19.71156,1.0729469,1.7159993787475034e-86,1.9024534362445367e-83,ACTC1
ENSG00000137154,19.540537,1.2297895,4.9657940674753757e-85,5.338529579752239e-82,RPS6
ENSG00000105372,19.047731,1.2096183,6.861299476189083e-81,6.569841975240752e-78,RPS19
ENSG00000136942,19.04768,1.1722673,6.867999549097591e-81,6.569841975240752e-78,RPL35
ENSG00000197728,19.046406,1.5783999,7.037066129017352e-81,6.569841975240752e-78,RPS26
ENSG00000105193,18.956184,1.1593202,3.9260912985454044e-80,3.571434384576802e-77,RPS16
ENSG00000145592,18.937813,1.193529,5.566246683709576e-80,4.9368433399491154e-77,RPL37
ENSG00000122406,18.837814,1.2580462,3.6993263142117206e-79,3.2009999914460783e-76,RPL5
ENSG00000185070,18.792961,0.98495775,8.622932845705341e-79,7.283709251597343e-76,FLRT2
ENSG00000197958,18.720919,1.311824,3.3433837055078054e-78,2.7584470632628e-75,RPL12
ENSG00000156885,18.662086,1.2072531,1.0072159951517969e-77,7.940667080000065e-75,COX6A2
ENSG00000122026,18.643885,1.1304885,1.415741839922106e-77,1.0918755055416643e-74,RPL21
ENSG00000162244,18.437147,1.225997,6.613941627467281e-76,4.8883918149511816e-73,RPL29
ENSG00000111640,18.387388,1.0499158,1.6577630470315144e-75,1.2002542779497354e-72,GAPDH
ENSG00000148303,18.34831,1.2665633,3.4053635473806435e-75,2.416241651408462e-72,RPL7A
ENSG00000144713,18.142946,1.1291044,1.4599074771044302e-73,1.01555171696537e-70,RPL32
ENSG00000169020,18.017332,1.2525944,1.42450979964464e-72,9.535346068300546e-70,ATP5ME
ENSG00000089157,17.920326,1.1729149,8.184593280378417e-72,5.37712621866639e-69,RPLP0
ENSG00000128510,17.617504,1.3409824,1.8080763363889744e-69,1.1662749852013025e-66,CPA4
ENSG00000198242,17.321821,1.1607172,3.2200544520624605e-67,1.9696184792382743e-64,RPL23A
ENSG00000177600,16.901834,1.0457984,4.361261062289712e-64,2.62244845265851e-61,RPLP2
ENSG00000107317,16.60363,0.9379785,6.5600904477044195e-62,3.8788721468868283e-59,PTGDS
ENSG00000089009,16.49441,1.1833752,4.024717360615392e-61,2.302982222621811e-58,RPL6
ENSG00000149273,16.426666,1.071632,1.2324948058253132e-60,6.940510829565815e-58,RPS3
ENSG00000125730,16.423187,0.7340015,1.3052506935344348e-60,7.235371696018929e-58,C3
ENSG00000182899,16.357529,1.1168585,3.844090783155144e-60,2.0663152835453794e-57,RPL35A
ENSG00000167526,16.353508,0.8721345,4.106472439234498e-60,2.1744078018913772e-57,RPL13
ENSG00000198755,16.34521,1.1915511,4.7054784216659817e-60,2.4549449700800594e-57,RPL10A
ENSG00000250722,16.305113,1.4856966,9.077147713215699e-60,4.667101006112367e-57,SELENOP
ENSG00000141753,16.28902,1.5104418,1.1810651445290869e-59,5.985806876065487e-57,IGFBP4
ENSG00000083845,16.25131,1.1655034,2.1864346753414565e-59,1.0925090560153358e-56,RPS5
ENSG00000147604,16.163082,1.0739094,9.185303146703115e-59,4.525930551883145e-56,RPL7
ENSG00000063177,16.144243,1.0643624,1.2466998429182247e-58,6.0587904557821725e-56,RPL18
ENSG00000048052,16.113735,1.4633263,2.0430203390636768e-58,9.79462602283271e-56,HDAC9
ENSG00000197746,16.067963,1.0604081,4.279159078297921e-58,2.0241563549436714e-55,PSAP
ENSG00000142534,16.054056,1.0084095,5.354794614696861e-58,2.4996322177052704e-55,RPS11
ENSG00000143947,16.026459,1.0245959,8.350802401767038e-58,3.84755086762973e-55,RPS27A
ENSG00000140416,16.012087,0.61289394,1.0522118649037968e-57,4.785810298870769e-55,TPM1
ENSG00000265681,15.9986515,1.0341454,1.305733066310354e-57,5.863733163733219e-55,RPL17
ENSG00000142089,15.991595,1.3190038,1.462382833336057e-57,6.485119472282912e-55,IFITM3
ENSG00000172809,15.931234,1.1251445,3.846894165212307e-57,1.6848921518424324e-54,RPL38
ENSG00000130066,15.724839,0.80869496,1.0221011377353544e-55,4.422083178467947e-53,SAT1
ENSG00000183783,15.668694,1.0875756,2.476152213133693e-55,1.0583909887390846e-52,KCTD8
ENSG00000164587,15.615523,0.9356787,5.707484922965003e-55,2.410529078714636e-52,RPS14
ENSG00000115252,15.397311,1.1198109,1.7061737293884108e-53,7.038363418315424e-51,PDE1A
ENSG00000131469,15.369366,1.339354,2.6272974868998087e-53,1.0591890107130058e-50,RPL27
ENSG00000240583,15.323726,1.0334319,5.308531703761777e-53,2.1160761713972647e-50,AQP1
ENSG00000108107,15.313871,0.9174577,6.17744245878382e-53,2.43507917900304e-50,RPL28
ENSG00000125691,15.302242,1.0280074,7.38673982271829e-53,2.8797732823140304e-50,RPL23
ENSG00000170889,15.301265,0.9516557,7.498509937620335e-53,2.8915721419234414e-50,RPS9
ENSG00000186468,15.257599,0.98939824,1.4654204108729372e-52,5.590184937262279e-50,RPS23
ENSG00000115268,15.241776,0.9687487,1.8672260364224407e-52,7.047189158953077e-50,RPS15
ENSG00000116690,15.230147,0.7897525,2.230891135828931e-52,8.331086823768735e-50,PRG4
ENSG00000248300,15.172205,1.4928468,5.403083533475132e-52,1.996720776219763e-49,LINC02360
ENSG00000133112,15.150606,0.8046289,7.507097859687692e-52,2.745662997609693e-49,TPT1
ENSG00000254772,15.046576,1.111379,3.635756234117284e-51,1.3028861001795847e-48,EEF1G
ENSG00000104879,15.021787,1.0453775,5.286322446200351e-51,1.8754286142384986e-48,CKM
ENSG00000108298,14.79292,1.0034342,1.6273710994588637e-49,5.716261831237833e-47,RPL19
ENSG00000182326,14.786309,0.9860455,1.7953247943946724e-49,6.244386052033312e-47,C1S
ENSG00000171858,14.723325,1.0166252,4.566449268204314e-49,1.5728535989134411e-46,RPS21
ENSG00000198034,14.686858,1.0053973,7.825937834509416e-49,2.6696230437970248e-46,RPS4X
ENSG00000204628,14.653151,1.095863,1.2861133418300862e-48,4.345470764581521e-46,RACK1
ENSG00000167658,14.644421,0.97583836,1.462424449101483e-48,4.89456907365786e-46,EEF2
ENSG00000118849,14.636351,1.1871352,1.6467199413750047e-48,5.4598769495477605e-46,RARRES1
ENSG00000198125,14.558526,0.77956337,5.155735480407428e-48,1.678073648058847e-45,MB
ENSG00000115414,14.331962,1.3082414,1.3816289574931585e-46,4.4158604076562867e-44,FN1
ENSG00000286481,14.307865,1.0827203,1.9542105868139e-46,6.190136516821137e-44,ENSG00000286481
ENSG00000251003,14.276657,1.2744503,3.059279361750884e-46,9.604783532463373e-44,ZFPM2-AS1
