names,scores,logfoldchanges,pvals,pvals_adj,gene
ENSG00000115252,15.397311,1.1198109,1.7061737293884108e-53,7.038363418315424e-51,PDE1A
ENSG00000240583,15.323726,1.0334319,5.308531703761777e-53,2.116076171397265e-50,AQP1
ENSG00000204628,14.653151,1.095863,1.2861133418300862e-48,4.345470764581521e-46,RACK1
ENSG00000168028,12.896978,0.9120562,4.680944797238646e-38,1.1861848469402532e-35,RPSA
ENSG00000123384,11.535798,0.95674556,8.707590055347899e-31,1.6789085456172686e-28,LRP1
ENSG00000183287,10.477479,1.2310708,1.0962749317495752e-25,1.7285575890524304e-23,CCBE1
ENSG00000110651,10.385092,0.7655211,2.898890038206782e-25,4.471474864585304e-23,CD81
ENSG00000138449,10.193928,1.1483794,2.110611087585561e-24,3.1329769687980314e-22,SLC40A1
ENSG00000128052,9.557462,0.6614528,1.206797308783177e-21,1.5915817146357162e-19,KDR
ENSG00000221866,9.3806925,0.59835434,6.554055562327158e-21,8.486066758564985e-19,PLXNA4
ENSG00000084234,8.048445,0.6100081,8.385302321421116e-16,8.41231620676401e-14,APLP2
ENSG00000105426,7.985026,0.61847425,1.404928747398567e-15,1.400074639647724e-13,PTPRS
ENSG00000180447,7.847298,0.6942987,4.250966207839676e-15,4.098139352052396e-13,GAS1
ENSG00000110955,7.669196,0.60393804,1.730779041318386e-14,1.6074043991846173e-12,ATP5F1B
ENSG00000179222,7.4482265,0.52277833,9.460327644193622e-14,8.348856811767589e-12,MAGED1
ENSG00000169855,7.306189,0.5211475,2.7482534902486457e-13,2.3493925077964143e-11,ROBO1
ENSG00000176390,7.299795,1.0060743,2.882063363147209e-13,2.4519655140137535e-11,CRLF3
ENSG00000077782,7.0966086,0.5478296,1.2785524403010719e-12,1.0451429706120076e-10,FGFR1
ENSG00000030304,7.0001664,1.3092238,2.556588449279018e-12,1.9890370266463095e-10,MUSK
ENSG00000187764,6.9864264,0.6023654,2.819759751986473e-12,2.174906996422824e-10,SEMA4D
ENSG00000135404,6.901416,0.4670087,5.148682313614773e-12,3.90298723162631e-10,CD63
ENSG00000198121,6.767288,0.4214811,1.3121847520804942e-11,9.618260010239604e-10,LPAR1
ENSG00000106018,6.593274,0.5558607,4.302304676649028e-11,3.028429821695983e-09,VIPR2
ENSG00000101000,6.361444,0.46243727,1.9986593930422984e-10,1.3179635555197328e-08,PROCR
ENSG00000107738,6.266055,0.5908079,3.703089091000171e-10,2.38429204503472e-08,VSIR
ENSG00000163513,6.239393,0.39045134,4.3927120476089255e-10,2.8028821099464364e-08,TGFBR2
ENSG00000170558,6.132935,0.5140444,8.627242054467035e-10,5.3229333281100354e-08,CDH2
ENSG00000136235,6.119389,0.9372718,9.3934873534631e-10,5.735847690857324e-08,GPNMB
ENSG00000166681,6.059226,0.69763875,1.367781124293003e-09,8.266570859717696e-08,BEX3
ENSG00000074800,6.033801,0.6076871,1.601471661102071e-09,9.581013511116048e-08,ENO1
ENSG00000150093,5.797131,0.43469203,6.745902435969522e-09,3.774832503484081e-07,ITGB1
ENSG00000151067,5.651627,0.43299067,1.5893606926319413e-08,8.479060043985471e-07,CACNA1C
ENSG00000067182,5.4074044,0.52845156,6.394456194592088e-08,3.15077947799366e-06,TNFRSF1A
ENSG00000115594,5.353114,0.35479584,8.645330953753282e-08,4.190032872217283e-06,IL1R1
ENSG00000196776,5.3059115,0.47530532,1.121112695275392e-07,5.367572886678149e-06,CD47
ENSG00000106123,5.2638702,0.47455588,1.410539167240739e-07,6.672226404826627e-06,EPHB6
ENSG00000053918,5.2559795,1.0020967,1.472386699606613e-07,6.946258369939337e-06,KCNQ1
ENSG00000169071,5.156473,0.35800728,2.516446895233212e-07,1.143098418722006e-05,ROR2
ENSG00000116106,5.0373034,0.71453744,4.721363132266969e-07,2.0526936255322947e-05,EPHA4
ENSG00000162104,5.0012794,0.4299623,5.695116220923276e-07,2.460970014247199e-05,ADCY9
ENSG00000115053,4.9603343,0.51841474,7.037189066663603e-07,3.000701400457027e-05,NCL
ENSG00000204525,4.9122677,0.40220296,9.002906173541831e-07,3.757601203749924e-05,HLA-C
ENSG00000106991,4.8870044,0.59929013,1.023817381811949e-06,4.228401543020083e-05,ENG
ENSG00000197635,4.7644134,0.43695852,1.894040662646982e-06,7.457811386096225e-05,DPP4
ENSG00000120949,4.726588,0.35837653,2.2832414931057343e-06,8.881859479266681e-05,TNFRSF8
ENSG00000057019,4.6264787,0.3080776,3.71935098967668e-06,0.0001388414494236,DCBLD2
ENSG00000197324,4.5556016,0.98032373,5.22358670626263e-06,0.0001890991689572,LRP10
ENSG00000171105,4.49157,0.28770715,7.0700106093473275e-06,0.0002493268055544,INSR
ENSG00000135218,4.470638,0.4881934,7.798675362039712e-06,0.0002712486331559,CD36
ENSG00000183762,4.465581,0.5720974,7.985185948034633e-06,0.0002771922131882,KREMEN1
ENSG00000124145,4.4249787,0.6729082,9.64517471540728e-06,0.0003309302353757,SDC4
ENSG00000197965,4.4115415,0.44720694,1.026373360140462e-05,0.0003507962205944,MPZL1
ENSG00000169306,4.3699,0.5995288,1.243032072122796e-05,0.0004156366524288,IL1RAPL1
ENSG00000162733,4.362976,0.30128267,1.2830488737543652e-05,0.000427405867551,DDR2
