names,scores,logfoldchanges,pvals,pvals_adj,gene
ENSG00000145864,32.423725,4.092151,1.2711835388276235e-230,4.50977784069876e-226,GABRB2
ENSG00000133019,-16.373207,-1.1645253,2.9713613959628984e-60,1.6217690499165498e-57,CHRM3
ENSG00000123384,11.535798,0.95674556,8.707590055347899e-31,1.6789085456172686e-28,LRP1
ENSG00000128052,9.557462,0.6614528,1.206797308783177e-21,1.5915817146357162e-19,KDR
ENSG00000112562,9.198912,0.62931734,3.615933874973793e-20,4.501139862541939e-18,SMOC2
ENSG00000166033,8.296229,0.69828767,1.0746828928302878e-16,1.1358162111798094e-14,HTRA1
ENSG00000138696,-7.7481384,-0.47749758,9.324940891146114e-15,8.845479358160179e-13,BMPR1B
ENSG00000026103,-7.355163,-1.1167446,1.906942089995719e-13,1.6581515815386796e-11,FAS
ENSG00000077782,7.0966086,0.5478296,1.2785524403010719e-12,1.0451429706120076e-10,FGFR1
ENSG00000069667,-6.81603,-0.07133508,9.359067392337627e-12,6.960830898909058e-10,RORA
ENSG00000198121,6.767288,0.4214811,1.3121847520804942e-11,9.618260010239604e-10,LPAR1
ENSG00000163513,6.239393,0.39045134,4.3927120476089255e-10,2.8028821099464364e-08,TGFBR2
ENSG00000134352,6.008059,0.3513711,1.877575744449157e-09,1.1176301121782341e-07,IL6ST
ENSG00000150093,5.797131,0.43469203,6.745902435969522e-09,3.774832503484081e-07,ITGB1
ENSG00000111142,5.7182865,0.60439324,1.0760373350651104e-08,5.873011774785373e-07,METAP2
ENSG00000067182,5.4074044,0.52845156,6.394456194592088e-08,3.15077947799366e-06,TNFRSF1A
ENSG00000115594,5.353114,0.35479584,8.645330953753282e-08,4.190032872217283e-06,IL1R1
ENSG00000106123,5.2638702,0.47455588,1.410539167240739e-07,6.672226404826627e-06,EPHB6
ENSG00000169071,5.156473,0.35800728,2.516446895233212e-07,1.143098418722006e-05,ROR2
ENSG00000116106,5.0373034,0.71453744,4.721363132266969e-07,2.0526936255322947e-05,EPHA4
ENSG00000106799,-4.748502,-0.91756,2.0492929318897915e-06,8.042341299187404e-05,TGFBR1
ENSG00000120949,4.726588,0.35837653,2.2832414931057343e-06,8.881859479266681e-05,TNFRSF8
ENSG00000197324,4.5556016,0.98032373,5.22358670626263e-06,0.0001890991689572,LRP10
ENSG00000171105,4.49157,0.28770715,7.0700106093473275e-06,0.0002493268055544,INSR
ENSG00000125652,4.4791055,0.7894438,7.495649823083469e-06,0.0002617354023361,ALKBH7
