gene_symbol,ensembl_id,normal_mean,mi_mean,normal_pct_expressing,mi_pct_expressing,logFC,pval,padj,rank
CCBE1,ENSG00000183287,0.26062,0.6004349,14.661128940909949,32.955427861469175,1.1735691,8.090239103412417e-255,6.79580084686643e-253,1
PDE1A,ENSG00000115252,0.5806541,0.96175027,32.94317538229186,53.502096598850756,0.7182722,7.0622302299847955e-205,2.966136696593614e-203,2
SLC40A1,ENSG00000138449,0.23011404,0.47006583,15.8844629035303,31.744059636589533,0.99951243,5.9840947206146814e-192,1.6755465217721108e-190,3
AQP1,ENSG00000240583,0.8587529,1.2622947,46.611289409099484,62.27675104829943,0.5504151,3.1308509409547196e-164,6.574786976004911e-163,4
MUSK,ENSG00000030304,0.12922138,0.30232728,9.137247498584104,19.506134492933686,1.1656778,4.423103124128342e-132,7.430813248535614e-131,5
LRP1,ENSG00000123384,0.37984246,0.59693056,25.463469888616196,39.804317440596364,0.6386403,2.9404801791534605e-119,4.1166722508148445e-118,6
RACK1,ENSG00000204628,0.52947384,0.7884581,33.09797998867283,47.67821090231402,0.56566375,4.784108460865261e-115,5.740930153038313e-114,7
KDR,ENSG00000128052,0.68941885,0.9633483,39.90560694732868,54.63581301444324,0.47679946,6.80979680165777e-103,7.150286641740659e-102,8
PLXNA4,ENSG00000221866,0.9255801,1.2334594,48.73702095525769,64.14039447119117,0.41042626,8.301621285033165e-100,7.748179866030955e-99,9
RPSA,ENSG00000168028,0.6340511,0.88046694,37.81008117802529,50.75322255008542,0.4673869,6.689756854782253e-89,5.619395758017093e-88,10
CRLF3,ENSG00000176390,0.18185408,0.32121688,13.218803096092127,22.6432675881348,0.7877667,1.4248238655441105e-84,1.0880473155064118e-83,11
KCNJ10,ENSG00000177807,0.057010233,0.1423262,4.459127808193316,10.234508464047213,1.1847109,1.3692484198012782e-75,9.584738938608948e-75,12
DPP4,ENSG00000197635,0.4038768,0.58793217,25.95053804040023,37.11756483926075,0.53078043,8.981608824764726e-74,5.803501086771054e-73,13
LPAR1,ENSG00000198121,1.0626519,1.3186796,55.60883518973003,69.09457990371176,0.3088113,1.1875839956310285e-65,7.1255039737861705e-65,14
VIPR2,ENSG00000106018,0.45107928,0.6257254,27.105909005097224,38.01832582699177,0.46338892,8.672036594792084e-63,4.856340493083567e-62,15
PTPRS,ENSG00000105426,0.42751983,0.5814698,28.01208231074193,38.73272247243361,0.4349561,2.2593205710145065e-61,1.186143299782616e-60,16
GAS1,ENSG00000180447,0.36499467,0.5093645,23.4094770624882,33.763006678055596,0.46987727,2.889794293049892e-60,1.4278983565658292e-59,17
TGFBR2,ENSG00000163513,0.7371664,0.9367109,43.428355673022466,55.50551327845938,0.34149438,1.1957570119138776e-59,5.580199388931429e-59,18
GPNMB,ENSG00000136235,0.15808554,0.25949275,11.191240324712101,18.57431278148781,0.68105084,8.432631565773309e-58,3.54170525762479e-57,19
ROBO1,ENSG00000169855,0.8241865,1.063684,44.21748159335473,54.62028265258581,0.36412758,8.147151540381253e-58,3.54170525762479e-57,20
MAGED1,ENSG00000179222,0.55305374,0.725135,35.07268265055692,46.016462183568876,0.3847366,3.6985586360685035e-57,1.4794234544274014e-56,21
CD81,ENSG00000110651,0.54484075,0.7073587,33.31319614876345,44.432365274110886,0.37062103,8.434021998019356e-54,3.2202629446983e-53,22
ITGA3,ENSG00000005884,0.29713878,0.4244904,20.203888993770057,29.02624631153906,0.50043356,2.6515596710317917e-53,9.683957059420457e-53,23
VSIR,ENSG00000107738,0.30652326,0.43266374,21.174249575231265,30.00465910855723,0.48389965,7.011757850416929e-53,2.4541152476459253e-52,24
SEMA4D,ENSG00000187764,0.39578214,0.5416502,26.305455918444405,35.81301444323653,0.4430484,7.509332118612333e-53,2.523135591853744e-52,25
