gene_symbol,ensembl_id,normal_mean,mi_mean,normal_pct_expressing,mi_pct_expressing,logFC,pval,padj,rank
PDE1A,ENSG00000115252,0.4777101,0.96175027,27.672859014877055,53.502096598850756,0.99456173,2.7577604506053254e-271,2.3165187785084735e-269,1
CCBE1,ENSG00000183287,0.24811003,0.6004349,13.821012872889849,32.955427861469175,1.2418512,2.4771084675750824e-211,1.0403855563815346e-209,2
MUSK,ENSG00000030304,0.10681331,0.30232728,7.353734679719418,19.506134492933686,1.4188539,1.9568810874138485e-141,5.479267044758776e-140,3
SLC40A1,ENSG00000138449,0.24206446,0.47006583,16.256841131580977,31.744059636589533,0.9294395,1.718674157503448e-130,3.609215730757241e-129,4
GAS1,ENSG00000180447,0.29212546,0.5093645,18.56933631388268,33.763006678055596,0.78159964,2.1967124654754984e-110,3.6904769419988375e-109,5
PLXNA4,ENSG00000221866,0.8797844,1.2334594,45.94927927233485,64.14039447119117,0.4828316,3.647813911000565e-106,5.106939475400791e-105,6
LPAR1,ENSG00000198121,0.9735343,1.3186796,51.75364217991213,69.09457990371176,0.433946,9.256387530565787e-101,1.1107665036678944e-99,7
KCNJ10,ENSG00000177807,0.041855156,0.1423262,2.9985354197178755,10.234508464047213,1.5546049,1.0868421514028604e-97,1.1411842589730034e-96,8
CRLF3,ENSG00000176390,0.1653319,0.32121688,11.315809758729669,22.6432675881348,0.9176876,6.217142651390506e-92,5.802666474631139e-91,9
LRP1,ENSG00000123384,0.38765013,0.59693056,25.18307253526555,39.804317440596364,0.61003184,9.706853219679516e-86,8.153756704530794e-85,10
PTPRS,ENSG00000105426,0.3823609,0.5814698,24.211824558698837,38.73272247243361,0.59212315,2.687053482322844e-82,2.0519317501374447e-81,11
TGFBR2,ENSG00000163513,0.68930215,0.9367109,40.16804131658059,55.50551327845938,0.43700796,2.683128657451582e-70,1.8781900602161075e-69,12
DPP4,ENSG00000197635,0.3981033,0.58793217,24.620365374238805,37.11756483926075,0.55104744,8.957532931109287e-65,5.787944355486001e-64,13
ROR2,ENSG00000169071,1.3203785,1.6184764,64.02528328065983,79.43780090076099,0.291686,1.105032979848487e-61,6.630197879090922e-61,14
ALK,ENSG00000171094,0.115869634,0.2193905,7.777692129808063,15.406118962571828,0.8658754,8.407153806318015e-59,4.7080061315380884e-58,15
ROBO1,ENSG00000169855,0.8042635,1.063684,42.5807446234487,54.62028265258581,0.39900184,1.8148389808691354e-55,9.52790464956296e-55,16
TNFRSF8,ENSG00000120949,0.41168633,0.56989354,25.59932166807986,36.9933219444013,0.45961785,3.590443140035449e-50,1.77410131625281e-49,17
GFRA1,ENSG00000151892,0.12503213,0.21960159,8.186232945348031,15.142102810995498,0.76582986,4.723172309353818e-48,2.204147077698449e-47,18
KDR,ENSG00000128052,0.75106955,0.9633483,42.118245586988365,54.63581301444324,0.35492796,9.897798884069606e-48,4.3758689803255105e-47,19
VIPR2,ENSG00000106018,0.4656573,0.6257254,26.717027672859018,38.01832582699177,0.41848126,5.081970560599384e-45,2.1344276354517414e-44,20
SEMA4D,ENSG00000187764,0.3958675,0.5416502,25.144530948893856,35.81301444323653,0.44274485,4.195675870504025e-44,1.67827034820161e-43,21
AQP1,ENSG00000240583,1.0233277,1.2622947,51.48385107531026,62.27675104829943,0.30013496,6.041827848744997e-43,2.3068797240662715e-42,22
TNFRSF11B,ENSG00000164761,0.11582507,0.19553444,7.384567948816774,13.666718434539524,0.70796067,1.5857329145491397e-42,5.791372383570771e-42,23
MAGED1,ENSG00000179222,0.5616921,0.725135,34.54096970631311,46.016462183568876,0.36277083,5.518910860781593e-41,1.9316188012735577e-40,24
RACK1,ENSG00000204628,0.6128517,0.7884581,36.28304941031373,47.67821090231402,0.35832804,3.2462047983877974e-40,1.0907248122582998e-39,25
FGFR1,ENSG00000077782,0.46184984,0.60619724,28.8676481923996,39.773256716881505,0.38506442,9.543730026578833e-40,3.083358931663931e-39,26
MMP24,ENSG00000125966,0.22382036,0.32633764,14.75371926308487,22.798571206709116,0.52450955,4.4927790613150507e-39,1.3977534857424603e-38,27
KREMEN1,ENSG00000183762,0.21441315,0.31330332,14.10622061204039,21.97546202826526,0.52673095,1.1587851818397692e-38,3.4763555455193075e-38,28
FGFR2,ENSG00000066468,0.252977,0.3555566,16.025591613350805,24.33607703059481,0.47515813,4.246822797043851e-37,1.2301141894885637e-36,29
PROCR,ENSG00000101000,0.5215129,0.6704165,31.488476065674863,42.36682714707253,0.35631332,8.040325089663714e-37,2.2512910251058398e-36,30
KCNQ1,ENSG00000053918,0.13240938,0.21418835,8.995606259153627,15.17316353471036,0.65466714,1.8281101928759637e-36,4.953588909728417e-36,31
ITGA3,ENSG00000005884,0.31339416,0.4244904,20.21120789331689,29.02624631153906,0.42603064,1.1272213262201708e-35,2.958955981327948e-35,32
ESR1,ENSG00000091831,0.09245472,0.16191629,6.151237184922531,11.290573070352538,0.74671996,9.058409089064738e-35,2.3057768590346603e-34,33
GPNMB,ENSG00000136235,0.1749058,0.25949275,11.809142064287366,18.57431278148781,0.54345584,5.156280892165963e-34,1.2739046910057085e-33,34
VSIR,ENSG00000107738,0.32438353,0.43266374,21.483080243582826,30.00465910855723,0.4047075,2.084688570818553e-32,5.003252569964527e-32,35
