final_rank,gene_symbol,ensembl_id,mean_rank,median_rank,std_rank,mean_logFC,mean_score
1,PDE1A,ENSG00000115252,41.41,28.0,38.82733444366224,1.3910251,4.576627
2,CCBE1,ENSG00000183287,144.01,102.0,124.12030414078109,1.5506265,3.2998688
3,PLXNA4,ENSG00000221866,199.55,125.5,219.13066307570926,0.7846315,3.1193285
4,SLC40A1,ENSG00000138449,257.08,190.5,243.30419971714423,1.1835457,2.7609212
5,TGFBR2,ENSG00000163513,370.57,235.0,408.63030369760884,0.67818743,2.5936365
6,GAS1,ENSG00000180447,402.86,270.5,430.46001022162324,0.96534574,2.491599
7,PTPRS,ENSG00000105426,512.22,260.0,620.7398904533202,0.7878163,2.4375446
8,MUSK,ENSG00000030304,522.65,383.0,473.8229917384761,1.7412727,2.2058473
9,LRP1,ENSG00000123384,540.59,291.0,914.3092375668092,0.78985345,2.4062767
10,LPAR1,ENSG00000198121,571.07,96.5,3510.287880658793,0.7608173,3.2277713
11,ROR2,ENSG00000169071,721.4,238.0,1514.748916487482,0.57968843,2.5639691
12,CRLF3,ENSG00000176390,737.45,618.5,649.1664251176273,1.0998275,1.9362094
13,ROBO1,ENSG00000169855,1117.95,518.5,3334.63669497893,0.5773597,2.0285509
14,DPP4,ENSG00000197635,1146.86,526.5,3406.488966722188,0.6855445,1.9871116
15,AQP1,ENSG00000240583,1348.44,537.5,3385.931911069684,0.5013675,1.9642034
16,TNFRSF8,ENSG00000120949,1495.2,604.0,3567.6988101576067,0.599702,1.8345611
17,VIPR2,ENSG00000106018,1606.54,502.5,4727.478622733264,0.61296296,1.9263705
18,KCNJ10,ENSG00000177807,1673.02,1245.5,1158.9088314444757,1.9682809,1.2779603
19,KDR,ENSG00000128052,1731.1,492.5,4920.294990140327,0.5173331,1.9707553
20,MAGED1,ENSG00000179222,1747.58,601.5,4844.202190619215,0.49579728,1.768103
21,RACK1,ENSG00000204628,1769.76,589.5,4697.088760328039,0.5130862,1.8073283
