rank,gene_symbol,ensembl_id,logFC,padj,pval,pct_MI,score
1,PDE1A,ENSG00000115252,1.4001755,2.1225976285979523e-198,1.6154166353452861e-201,,30.288689
2,CCBE1,ENSG00000183287,1.5470848,3.250344764102467e-102,7.787561094475566e-105,,21.744501
3,PLXNA4,ENSG00000221866,0.7867032,4.430548755029732e-92,1.2613395277447443e-94,,20.637615
4,LPAR1,ENSG00000198121,0.7332869,1.2346870181107016e-90,3.5498513360005516e-93,,20.475649
5,SLC40A1,ENSG00000138449,1.1316773,1.0791478469248356e-65,4.8364999199777e-68,,17.430567
6,GAS1,ENSG00000180447,0.96925163,1.0113113550602533e-59,5.102594147075157e-62,,16.618702
7,ROR2,ENSG00000169071,0.5595597,1.2050532228444102e-57,6.351860435547107e-60,,16.326912
8,TGFBR2,ENSG00000163513,0.6448497,8.499446040498723e-57,4.575906062336884e-59,,16.205973
9,LRP1,ENSG00000123384,0.7861062,9.335207043792388e-55,5.236367792413916e-57,,15.9119425
10,PTPRS,ENSG00000105426,0.75988567,2.569487499511795e-51,1.5499346756927704e-53,,15.403522
11,ROBO1,ENSG00000169855,0.6191689,3.91851959482902e-45,2.783400337956741e-47,,14.442791
12,MUSK,ENSG00000030304,1.6468576,3.4360470592140496e-42,2.6150258082357396e-44,,13.96318
13,DPP4,ENSG00000197635,0.7106443,6.56613386830867e-40,5.237804450013681e-42,,13.580346
14,KDR,ENSG00000128052,0.5338475,1.6274024052734882e-38,1.3394636027281295e-40,,13.3408375
15,AQP1,ENSG00000240583,0.50729114,3.929561941704294e-37,3.3118330765554695e-39,,13.099557
16,CRLF3,ENSG00000176390,1.0751842,1.1460911840689274e-34,1.0079218914494049e-36,,12.658194
17,TNFRSF8,ENSG00000120949,0.5925662,4.00713558810576e-31,4.122683681423463e-33,,11.987684
18,RACK1,ENSG00000204628,0.50484025,5.8654549754366925e-30,6.348718072462976e-32,,11.758993
19,MAGED1,ENSG00000179222,0.4989243,8.067970205123728e-30,8.823667276229686e-32,,11.731164
20,VIPR2,ENSG00000106018,0.5521743,1.6071484757542226e-28,1.8437563199593218e-30,,11.4710655
21,SEMA4D,ENSG00000187764,0.5656892,8.00845615326179e-27,1.0045277188605282e-28,,11.11984
22,FGFR1,ENSG00000077782,0.505711,3.797076174445807e-26,4.912641892129057e-28,,10.977324
