rank,gene_symbol,ensembl_id,logFC,padj,pval,score
1,PDE1A,ENSG00000115252,1.2864825,0.006251775727239462,5.991498005077704e-06,4.526689
2,ROR2,ENSG00000169071,0.7044746,0.13180077605433602,0.00025262713227428615,3.659582
3,LPAR1,ENSG00000198121,0.75139606,0.33084037504832053,0.0010164783065159664,3.2859256
4,CCBE1,ENSG00000183287,1.4993377,0.46179108579108014,0.0016661290126351793,3.1440747
5,SLC40A1,ENSG00000138449,1.227444,0.8341065490510836,0.003973391402588526,2.8802664
6,GAS1,ENSG00000180447,1.088734,0.9431151670288324,0.004891427988085384,2.8140981
7,CACNA1C,ENSG00000151067,0.02722164,1.0,0.8732100963629947,0.15958233
8,EPHA4,ENSG00000116106,0.05140914,1.0,0.8497613522298583,0.18942294
9,PDPN,ENSG00000162493,0.056137744,1.0,0.8220682148489642,0.22488567
10,CD81,ENSG00000110651,0.034521624,1.0,0.8036147738814009,0.24867165
11,ADGRE5,ENSG00000123146,0.67720807,1.0,0.7899288331152987,0.26640302
12,SEMA4D,ENSG00000187764,0.109625116,1.0,0.785270155889735,0.27245763
13,ADCY9,ENSG00000162104,0.17836028,1.0,0.6910414159521441,0.3974422
14,ESR1,ENSG00000091831,0.59721464,1.0,0.5944672768156279,0.5323736
15,APLP2,ENSG00000084234,0.18031484,1.0,0.5460221422864446,0.6037315
16,KREMEN1,ENSG00000183762,0.18077697,1.0,0.5828407503210247,0.54924
17,KCNQ1,ENSG00000053918,0.05088218,1.0,0.9290109215140856,0.08908933
18,CD44,ENSG00000026508,0.15481152,1.0,0.5328737102486223,0.6236253
19,KLRD1,ENSG00000134539,0.32518527,1.0,0.5294702176214312,0.62881494
20,TNFRSF8,ENSG00000120949,0.19491878,1.0,0.5235408206228276,0.63789684
21,PGRMC2,ENSG00000164040,0.48442248,1.0,0.4840894275987965,0.6997404
22,GPNMB,ENSG00000136235,0.6163139,1.0,0.37647700008149,0.88440615
23,ENO1,ENSG00000074800,0.16996019,1.0,0.593868473445565,0.53323853
24,PDE1C,ENSG00000154678,-0.15046348,1.0,0.9530984628224416,0.058816254
25,TNFRSF11B,ENSG00000164761,-0.14108762,1.0,0.9748145782107239,-0.03157049
26,DSC3,ENSG00000134762,-0.02715899,1.0,0.9968944400326694,0.003892252
27,CDH2,ENSG00000170558,-0.5628958,1.0,0.1339989700812415,-1.498517
28,ATP5F1B,ENSG00000110955,-0.4804972,1.0,0.13947246811631397,-1.4777584
29,CAV1,ENSG00000105974,-0.30554247,1.0,0.3313824210655869,-0.97133315
30,NCL,ENSG00000115053,-0.32737878,1.0,0.5654564063631251,-0.5747559
31,ERAP1,ENSG00000164307,-0.39174846,1.0,0.5920737213211473,-0.53583336
32,CD36,ENSG00000135218,-0.28973436,1.0,0.6358156086501318,-0.47355732
33,SDC4,ENSG00000124145,-0.42214566,1.0,0.6856287836273209,-0.40479422
34,DDR2,ENSG00000162733,0.001607554,1.0,0.9692969661980027,0.03849005
35,HLA-C,ENSG00000204525,-0.22282751,1.0,0.719954457815433,-0.35851967
36,CD82,ENSG00000085117,-0.24960622,1.0,0.743706329653147,-0.32694918
37,GFRA1,ENSG00000151892,-0.09553715,1.0,0.866400938377246,-0.16823179
38,PLXDC2,ENSG00000120594,0.057687044,1.0,0.9001934222904857,-0.12541701
39,IL1RAPL1,ENSG00000169306,-0.099500805,1.0,0.9358874135988423,-0.08043987
40,CD47,ENSG00000196776,-0.056293745,1.0,0.9407038361777189,-0.07438526
41,MCFD2,ENSG00000180398,0.031820603,1.0,0.9407038361777189,-0.07438526
42,SLC16A7,ENSG00000118596,0.2974372,1.0,0.35381183790198356,0.92722094
43,LRP10,ENSG00000197324,-0.21612336,1.0,0.735217407784003,-0.33819345
44,CRLF3,ENSG00000176390,0.57944643,1.0,0.3096875901713,1.0158777
45,EPHB6,ENSG00000106123,0.4461483,1.0,0.28503727538475254,1.0690719
46,FLOT1,ENSG00000137312,0.46289045,1.0,0.29112117983081653,1.0556653
47,KDR,ENSG00000128052,0.47284764,1.0,0.07520834616730167,1.7791916
48,ALK,ENSG00000171094,1.6314583,1.0,0.0630602307862484,1.8587666
49,GHR,ENSG00000112964,0.4635945,1.0,0.05999604393311072,1.8808227
50,ITGA3,ENSG00000005884,0.81358874,1.0,0.05842446874085505,1.8924994
51,PLXNA4,ENSG00000221866,0.5167834,1.0,0.04487682032711767,2.0058072
52,VIPR2,ENSG00000106018,0.56638056,1.0,0.04446300615392901,2.0096996
53,MUSK,ENSG00000030304,1.3342376,1.0,0.040966906095106906,2.0438647
54,PLD1,ENSG00000075651,0.52916193,1.0,0.07757720120278819,1.7649201
55,PTK7,ENSG00000112655,1.1889158,1.0,0.034044226339009734,2.1195474
56,PTPRF,ENSG00000142949,0.519975,1.0,0.016521138589529204,2.3971949
57,IL1R1,ENSG00000115594,0.65479094,1.0,0.014184716885326909,2.4525514
58,TGFBR2,ENSG00000163513,0.6423847,1.0,0.012204421791240533,2.506178
59,SLC16A1,ENSG00000155380,0.7495844,1.0,0.010776693979384822,2.5498576
60,LRP1,ENSG00000123384,0.76128006,1.0,0.010317756131267453,2.564994
61,PTPRS,ENSG00000105426,0.8218736,1.0,0.007428364659147315,2.6770046
62,DCBLD2,ENSG00000057019,0.73488665,1.0,0.006404752911575041,2.7263062
63,AQP1,ENSG00000240583,0.5471374,1.0,0.03317765631648974,2.129927
64,TNFRSF1A,ENSG00000067182,0.35635263,1.0,0.30763242906108956,1.0202025
65,ABCA1,ENSG00000165029,0.76806444,1.0,0.08311040406123238,1.7329171
66,DPP4,ENSG00000197635,0.66020864,1.0,0.10522329954139267,1.6200418
67,CD63,ENSG00000135404,-0.5933127,1.0,0.039452700529810585,-2.0594337
68,ENG,ENSG00000106991,0.44723204,1.0,0.2800014083635918,1.0803162
69,FGFR1,ENSG00000077782,0.33269188,1.0,0.270111967342631,1.1028048
70,PROCR,ENSG00000101000,0.33385473,1.0,0.2289227860829134,1.2031384
71,ROBO1,ENSG00000169855,0.3582988,1.0,0.21581391093201652,1.2377361
72,BEX3,ENSG00000166681,0.53591734,1.0,0.19538146430846148,1.2948225
73,MPZL1,ENSG00000197965,0.5062889,1.0,0.19300457260659454,1.3017421
74,MMP24,ENSG00000125966,1.0246398,1.0,0.0864698275247272,1.7143208
75,FGFR2,ENSG00000066468,0.579498,1.0,0.18787931858339324,1.3168786
76,KCNJ10,ENSG00000177807,1.7121224,1.0,0.17025960241021698,1.3713701
77,PLXNB2,ENSG00000196576,0.67441875,1.0,0.1490970833029314,1.442728
78,INSR,ENSG00000171105,0.33075386,1.0,0.14440154771529665,1.4595945
79,ITGB1,ENSG00000150093,0.40843517,1.0,0.14333423206015192,1.4634868
80,RACK1,ENSG00000204628,0.4322906,1.0,0.13671458395301642,1.4881377
81,RPSA,ENSG00000168028,0.41458362,1.0,0.12135376244369091,1.5491163
82,MAGED1,ENSG00000179222,0.4470674,1.0,0.11306200747402773,1.5845791
83,VSIR,ENSG00000107738,0.5577082,1.0,0.17890817252752245,1.3441243
84,PTPRM,ENSG00000173482,-0.9689807,1.0,0.03912274016157957,-2.0628936
