rank,gene_symbol,ensembl_id,logFC,padj,pval,score
1,PDE1A,ENSG00000115252,1.0642673,5.479326258866026e-54,1.436359731867239e-56,15.848649
2,AQP1,ENSG00000240583,0.971666,1.4195826356121795e-53,3.801345953241736e-56,15.787364
3,RACK1,ENSG00000204628,0.95626783,1.2363349351729389e-40,4.878848012070115e-43,13.753107
4,RPSA,ENSG00000168028,0.84546715,1.2986985713796374e-35,5.78387051548842e-38,12.88066
5,LRP1,ENSG00000123384,0.91382617,5.7569089275468594e-30,3.115614381399208e-32,11.818948
6,SLC40A1,ENSG00000138449,1.1902138,5.005917276170777e-28,2.9631666375281542e-30,11.429939
7,KDR,ENSG00000128052,0.6904154,1.5020046022699669e-25,9.864618550861185e-28,10.914151
8,CCBE1,ENSG00000183287,1.1688951,5.116721244703641e-24,3.5768155951362936e-26,10.582908
9,CD81,ENSG00000110651,0.7061852,1.6429581769837873e-22,1.2133355198290507e-24,10.247588
10,PLXNA4,ENSG00000221866,0.5813918,9.799845512984628e-22,7.485858821261195e-24,10.070157
11,PTPRS,ENSG00000105426,0.59833926,1.0670223377636755e-14,1.0947829042646726e-16,8.294026
12,ATP5F1B,ENSG00000110955,0.6013102,5.573271316650661e-14,5.938203787507258e-16,8.090578
13,APLP2,ENSG00000084234,0.5589124,1.594095977251679e-13,1.7568890467215562e-15,7.957402
14,MUSK,ENSG00000030304,1.3044069,3.6368234480338472e-12,4.2542541109283386e-14,7.552975
15,CRLF3,ENSG00000176390,0.9610461,6.5513033540928926e-12,7.866660734683238e-14,7.4725313
16,FGFR1,ENSG00000077782,0.5104776,1.2008433646480608e-10,1.5976493731541131e-12,7.0657377
17,ROBO1,ENSG00000169855,0.46306875,1.774478688990414e-10,2.4008506094523174e-12,7.0089664
18,PROCR,ENSG00000101000,0.47570086,2.464226297635372e-10,3.396585561190903e-12,6.9602547
19,VIPR2,ENSG00000106018,0.54279995,4.1936604967330016e-10,6.0049596424172415e-12,6.879532
20,MAGED1,ENSG00000179222,0.443574,4.345315369378519e-10,6.234364582725896e-12,6.874189
21,GAS1,ENSG00000180447,0.5698016,4.932222946952749e-10,7.1598354361436024e-12,6.8544283
22,TGFBR2,ENSG00000163513,0.39253083,5.173787070022634e-10,7.554251211409432e-12,6.846758
23,CD63,ENSG00000135404,0.42243165,1.0797275950645454e-09,1.6191196566066412e-11,6.7368007
24,LPAR1,ENSG00000198121,0.38012528,1.1881162617290835e-09,1.7850042774236872e-11,6.722608
25,SEMA4D,ENSG00000187764,0.5311594,1.6769780377050034e-09,2.5478229904529607e-11,6.670587
26,VSIR,ENSG00000107738,0.5757552,7.740413048468955e-09,1.2414508060373864e-10,6.434176
27,CDH2,ENSG00000170558,0.50284976,9.00474813079512e-09,1.4543847221990595e-10,6.410085
28,ITGB1,ENSG00000150093,0.4441092,1.1423118812971648e-08,1.867522313477339e-10,6.3718576
29,ENO1,ENSG00000074800,0.60008734,1.2249284607132981e-08,2.0129472407358368e-10,6.3603497
30,GPNMB,ENSG00000136235,0.88151675,1.0211545737589771e-07,1.8076079497156967e-09,6.0142145
31,BEX3,ENSG00000166681,0.6483133,2.2225237747734173e-07,4.1033714025328755e-09,5.8799715
32,EPHA4,ENSG00000116106,0.7695296,3.046559221497459e-07,5.725242376041174e-09,5.8245916
33,IL1R1,ENSG00000115594,0.34256217,8.046028243780118e-07,1.5921052589378026e-08,5.6513305
34,DPP4,ENSG00000197635,0.48122036,1.0392725618351788e-06,2.085751512322483e-08,5.604734
35,CACNA1C,ENSG00000151067,0.3833653,2.4669905849156235e-06,5.215330886734272e-08,5.4438086
36,ENG,ENSG00000106991,0.60578144,4.931863266808144e-06,1.0787625489875466e-07,5.3129306
