cell_id,cell_state,dataset,n_genes,n_tokens,label
0,quiescent,PERIHEART,2048,2048,0
1,quiescent,PERIHEART,2048,2048,0
2,quiescent,PERIHEART,1574,1574,0
4,quiescent,PERIHEART,1895,1895,0
5,quiescent,PERIHEART,2039,2039,0
8,quiescent,PERIHEART,1630,1630,0
10,quiescent,PERIHEART,1809,1809,0
11,quiescent,PERIHEART,2048,2048,0
14,quiescent,PERIHEART,2048,2048,0
15,quiescent,PERIHEART,2048,2048,0
16,quiescent,PERIHEART,2005,2005,0
17,quiescent,PERIHEART,2048,2048,0
18,quiescent,PERIHEART,2048,2048,0
20,quiescent,PERIHEART,1719,1719,0
21,quiescent,PERIHEART,2048,2048,0
23,quiescent,PERIHEART,2048,2048,0
24,quiescent,PERIHEART,2048,2048,0
26,quiescent,PERIHEART,1905,1905,0
27,quiescent,PERIHEART,1156,1156,0
28,quiescent,PERIHEART,2048,2048,0
29,quiescent,PERIHEART,2048,2048,0
30,quiescent,PERIHEART,2048,2048,0
32,quiescent,PERIHEART,2048,2048,0
33,quiescent,PERIHEART,2048,2048,0
34,quiescent,PERIHEART,2048,2048,0
35,quiescent,PERIHEART,1920,1920,0
36,quiescent,PERIHEART,2048,2048,0
38,quiescent,PERIHEART,2048,2048,0
39,quiescent,PERIHEART,1497,1497,0
40,quiescent,PERIHEART,2048,2048,0
41,quiescent,PERIHEART,2048,2048,0
42,quiescent,PERIHEART,1602,1602,0
43,quiescent,PERIHEART,2048,2048,0
44,quiescent,PERIHEART,1959,1959,0
45,quiescent,PERIHEART,2048,2048,0
46,quiescent,PERIHEART,1547,1547,0
48,quiescent,PERIHEART,1939,1939,0
50,quiescent,PERIHEART,1717,1717,0
51,quiescent,PERIHEART,2048,2048,0
52,quiescent,PERIHEART,2048,2048,0
53,quiescent,PERIHEART,1655,1655,0
54,quiescent,PERIHEART,1873,1873,0
55,quiescent,PERIHEART,2048,2048,0
57,quiescent,PERIHEART,2048,2048,0
58,quiescent,PERIHEART,2048,2048,0
60,quiescent,PERIHEART,2048,2048,0
61,quiescent,PERIHEART,1506,1506,0
62,quiescent,PERIHEART,2048,2048,0
64,quiescent,PERIHEART,2048,2048,0
65,quiescent,PERIHEART,2048,2048,0
66,quiescent,PERIHEART,1937,1937,0
67,quiescent,PERIHEART,2048,2048,0
69,quiescent,PERIHEART,2048,2048,0
70,quiescent,PERIHEART,2048,2048,0
71,quiescent,PERIHEART,1754,1754,0
72,quiescent,PERIHEART,1955,1955,0
73,quiescent,PERIHEART,2048,2048,0
74,quiescent,PERIHEART,1803,1803,0
75,quiescent,PERIHEART,1963,1963,0
77,quiescent,PERIHEART,1824,1824,0
78,quiescent,PERIHEART,2048,2048,0
79,quiescent,PERIHEART,2048,2048,0
81,quiescent,PERIHEART,2048,2048,0
84,quiescent,PERIHEART,1631,1631,0
85,quiescent,PERIHEART,2048,2048,0
86,quiescent,PERIHEART,2048,2048,0
88,quiescent,PERIHEART,1977,1977,0
89,quiescent,PERIHEART,2048,2048,0
91,quiescent,PERIHEART,2048,2048,0
92,quiescent,PERIHEART,2048,2048,0
95,quiescent,PERIHEART,1588,1588,0
96,quiescent,PERIHEART,1263,1263,0
97,quiescent,PERIHEART,1678,1678,0
99,quiescent,PERIHEART,2048,2048,0
100,quiescent,PERIHEART,2048,2048,0
105,quiescent,PERIHEART,2048,2048,0
107,quiescent,PERIHEART,1156,1156,0
109,quiescent,PERIHEART,2048,2048,0
115,quiescent,PERIHEART,2022,2022,0
116,quiescent,PERIHEART,1634,1634,0
117,quiescent,PERIHEART,1974,1974,0
118,quiescent,PERIHEART,2048,2048,0
126,quiescent,PERIHEART,1659,1659,0
127,quiescent,PERIHEART,2048,2048,0
128,quiescent,PERIHEART,2048,2048,0
133,activated,PERIHEART,2048,2048,1
135,activated,PERIHEART,2048,2048,1
146,activated,PERIHEART,1645,1645,1
147,activated,PERIHEART,980,980,1
150,activated,PERIHEART,1994,1994,1
155,activated,PERIHEART,1433,1433,1
159,activated,PERIHEART,1921,1921,1
160,activated,PERIHEART,2048,2048,1
162,activated,PERIHEART,2048,2048,1
163,activated,PERIHEART,1627,1627,1
175,activated,PERIHEART,2017,2017,1
180,activated,PERIHEART,2048,2048,1
181,activated,PERIHEART,2048,2048,1
184,activated,PERIHEART,2048,2048,1
191,activated,PERIHEART,1851,1851,1
192,activated,PERIHEART,2048,2048,1
200,activated,PERIHEART,2048,2048,1
205,activated,PERIHEART,2048,2048,1
206,activated,PERIHEART,1788,1788,1
209,activated,PERIHEART,2048,2048,1
211,activated,PERIHEART,2048,2048,1
214,activated,PERIHEART,1559,1559,1
225,activated,PERIHEART,2048,2048,1
231,activated,PERIHEART,2048,2048,1
234,activated,PERIHEART,2048,2048,1
235,activated,PERIHEART,1831,1831,1
246,activated,PERIHEART,2048,2048,1
247,activated,PERIHEART,1592,1592,1
256,activated,PERIHEART,2043,2043,1
257,activated,PERIHEART,1689,1689,1
258,activated,PERIHEART,1079,1079,1
260,activated,PERIHEART,2048,2048,1
261,activated,PERIHEART,1774,1774,1
264,activated,PERIHEART,1465,1465,1
266,activated,PERIHEART,2048,2048,1
267,activated,PERIHEART,1630,1630,1
268,activated,PERIHEART,1782,1782,1
277,activated,PERIHEART,2048,2048,1
283,activated,PERIHEART,1580,1580,1
284,activated,PERIHEART,2048,2048,1
289,activated,PERIHEART,2048,2048,1
291,activated,PERIHEART,1258,1258,1
299,activated,PERIHEART,2048,2048,1
300,activated,PERIHEART,2048,2048,1
301,activated,PERIHEART,2048,2048,1
303,activated,PERIHEART,2048,2048,1
305,activated,PERIHEART,2048,2048,1
312,activated,PERIHEART,2048,2048,1
313,activated,PERIHEART,1771,1771,1
315,activated,PERIHEART,1567,1567,1
317,activated,PERIHEART,1466,1466,1
318,activated,PERIHEART,2048,2048,1
329,activated,PERIHEART,2048,2048,1
333,activated,PERIHEART,2048,2048,1
335,activated,PERIHEART,2048,2048,1
344,activated,PERIHEART,2048,2048,1
346,activated,PERIHEART,2048,2048,1
347,activated,PERIHEART,2048,2048,1
349,activated,PERIHEART,1407,1407,1
350,activated,PERIHEART,2048,2048,1
353,activated,PERIHEART,2048,2048,1
368,activated,PERIHEART,2048,2048,1
370,activated,PERIHEART,1473,1473,1
375,activated,PERIHEART,2048,2048,1
376,activated,PERIHEART,1718,1718,1
379,activated,PERIHEART,1580,1580,1
381,activated,PERIHEART,1872,1872,1
388,activated,PERIHEART,1958,1958,1
404,activated,PERIHEART,1797,1797,1
411,activated,PERIHEART,1346,1346,1
413,activated,PERIHEART,1671,1671,1
420,activated,PERIHEART,1826,1826,1
422,activated,PERIHEART,1198,1198,1
423,activated,PERIHEART,1996,1996,1
425,activated,PERIHEART,1630,1630,1
426,activated,PERIHEART,1953,1953,1
428,activated,PERIHEART,1249,1249,1
429,activated,PERIHEART,1832,1832,1
431,activated,PERIHEART,2048,2048,1
432,activated,PERIHEART,1773,1773,1
434,activated,PERIHEART,2048,2048,1
439,activated,PERIHEART,1740,1740,1
441,activated,PERIHEART,1508,1508,1
443,activated,PERIHEART,2048,2048,1
444,activated,PERIHEART,1632,1632,1
446,activated,PERIHEART,1891,1891,1
447,activated,PERIHEART,2048,2048,1
453,activated,PERIHEART,2048,2048,1
454,activated,PERIHEART,1579,1579,1
461,activated,PERIHEART,1889,1889,1
462,activated,PERIHEART,2005,2005,1
468,activated,PERIHEART,1883,1883,1
469,activated,PERIHEART,2048,2048,1
474,activated,PERIHEART,1443,1443,1
476,activated,PERIHEART,1680,1680,1
477,activated,PERIHEART,1390,1390,1
478,activated,PERIHEART,2048,2048,1
484,activated,PERIHEART,1773,1773,1
488,activated,PERIHEART,2048,2048,1
492,activated,PERIHEART,2048,2048,1
494,activated,PERIHEART,1809,1809,1
496,activated,PERIHEART,2030,2030,1
501,activated,PERIHEART,1777,1777,1
502,activated,PERIHEART,2048,2048,1
503,activated,PERIHEART,2048,2048,1
507,activated,PERIHEART,1988,1988,1
511,activated,PERIHEART,2048,2048,1
513,activated,PERIHEART,1514,1514,1
514,activated,PERIHEART,2048,2048,1
515,activated,PERIHEART,1863,1863,1
517,activated,PERIHEART,2048,2048,1
518,activated,PERIHEART,2048,2048,1
523,activated,PERIHEART,2048,2048,1
524,activated,PERIHEART,2048,2048,1
525,activated,PERIHEART,1888,1888,1
