ensembl_id,gene_symbol,logFC,padj,token_id
ENSG00000115252,PDE1A,1.1198109,7.038363418315424e-51,4349
ENSG00000240583,AQP1,1.0334319,2.116076171397265e-50,23457
ENSG00000204628,RACK1,1.095863,4.345470764581521e-46,17565
ENSG00000168028,RPSA,0.9120562,1.1861848469402532e-35,12084
ENSG00000123384,LRP1,0.95674556,1.6789085456172684e-28,5325
ENSG00000183287,CCBE1,1.2310708,1.7285575890524304e-23,14981
ENSG00000110651,CD81,0.7655211,4.471474864585304e-23,3757
ENSG00000138449,SLC40A1,1.1483794,3.1329769687980314e-22,7578
ENSG00000128052,KDR,0.6614528,1.5915817146357162e-19,5915
ENSG00000221866,PLXNA4,0.59835434,8.486066758564985e-19,18671
ENSG00000084234,APLP2,0.6100081,8.41231620676401e-14,1615
ENSG00000105426,PTPRS,0.61847425,1.400074639647724e-13,3081
ENSG00000180447,GAS1,0.6942987,4.098139352052396e-13,14484
ENSG00000110955,ATP5F1B,0.60393804,1.6074043991846173e-12,3799
ENSG00000179222,MAGED1,0.52277833,8.348856811767589e-12,14295
ENSG00000169855,ROBO1,0.5211475,2.3493925077964143e-11,12482
ENSG00000176390,CRLF3,1.0060743,2.4519655140137535e-11,13790
ENSG00000077782,FGFR1,0.5478296,1.0451429706120076e-10,1388
ENSG00000030304,MUSK,1.3092238,1.9890370266463095e-10,480
ENSG00000187764,SEMA4D,0.6023654,2.174906996422824e-10,15952
ENSG00000135404,CD63,0.4670087,3.90298723162631e-10,6979
ENSG00000198121,LPAR1,0.4214811,9.618260010239604e-10,16935
ENSG00000106018,VIPR2,0.5558607,3.028429821695983e-09,3218
ENSG00000101000,PROCR,0.46243727,1.3179635555197328e-08,2405
ENSG00000107738,VSIR,0.5908079,2.38429204503472e-08,3413
ENSG00000163513,TGFBR2,0.39045134,2.8028821099464364e-08,10875
ENSG00000170558,CDH2,0.5140444,5.3229333281100354e-08,12648
ENSG00000136235,GPNMB,0.9372718,5.735847690857324e-08,7149
ENSG00000166681,BEX3,0.69763875,8.266570859717696e-08,11740
ENSG00000074800,ENO1,0.6076871,9.581013511116048e-08,1267
ENSG00000150093,ITGB1,0.43469203,3.774832503484081e-07,9167
ENSG00000151067,CACNA1C,0.43299067,8.479060043985471e-07,9241
ENSG00000067182,TNFRSF1A,0.52845156,3.15077947799366e-06,995
ENSG00000115594,IL1R1,0.35479584,4.190032872217283e-06,4417
ENSG00000196776,CD47,0.47530532,5.367572886678149e-06,16547
ENSG00000106123,EPHB6,0.47455588,6.672226404826627e-06,3237
ENSG00000053918,KCNQ1,1.0020967,6.946258369939337e-06,713
ENSG00000169071,ROR2,0.35800728,1.143098418722006e-05,12318
ENSG00000116106,EPHA4,0.71453744,2.0526936255322947e-05,4489
ENSG00000162104,ADCY9,0.4299623,2.460970014247199e-05,10536
ENSG00000115053,NCL,0.51841474,3.000701400457027e-05,4318
ENSG00000204525,HLA-C,0.40220296,3.757601203749924e-05,17523
ENSG00000106991,ENG,0.59929013,4.228401543020083e-05,3348
ENSG00000197635,DPP4,0.43695852,7.457811386096225e-05,16787
ENSG00000120949,TNFRSF8,0.35837653,8.881859479266681e-05,5074
ENSG00000057019,DCBLD2,0.3080776,0.0001388414494236,763
ENSG00000197324,LRP10,0.98032373,0.0001890991689572,16698
ENSG00000171105,INSR,0.28770715,0.0002493268055544,12764
ENSG00000135218,CD36,0.4881934,0.0002712486331559,6940
ENSG00000183762,KREMEN1,0.5720974,0.0002771922131882,15094
ENSG00000124145,SDC4,0.6729082,0.0003309302353757,5404
ENSG00000197965,MPZL1,0.44720694,0.0003507962205944,16884
ENSG00000169306,IL1RAPL1,0.5995288,0.0004156366524288,12377
ENSG00000162733,DDR2,0.30128267,0.000427405867551,10664
ENSG00000125966,MMP24,0.5516107,0.0007536861615817,5702
ENSG00000112964,GHR,0.26411307,0.0009069346802318,4086
ENSG00000085117,CD82,1.2650176,0.0010592383111891,1634
ENSG00000026508,CD44,0.4063828,0.0010917356158519,452
ENSG00000162493,PDPN,0.30939576,0.0017034011499307,10596
ENSG00000005884,ITGA3,0.38654652,0.0023087863871003,109
ENSG00000134762,DSC3,0.5335445,0.0024267961975557,6865
ENSG00000196576,PLXNB2,0.42997175,0.0025392402068609,16489
ENSG00000165029,ABCA1,0.46554798,0.0038240720228247,11345
ENSG00000151892,GFRA1,0.6878597,0.0040053371677835,9351
ENSG00000154678,PDE1C,0.40387037,0.004921409421945,9667
ENSG00000075651,PLD1,0.27493417,0.0060821663759971,1309
ENSG00000112655,PTK7,0.4897605,0.0060883356392253,4051
ENSG00000091831,ESR1,0.8969909,0.0071429577670295,1931
ENSG00000105974,CAV1,0.25728714,0.0093086306966834,3203
ENSG00000118596,SLC16A7,0.28437293,0.0104803352081843,4789
ENSG00000120594,PLXDC2,0.25152034,0.0107214751660972,5019
ENSG00000137312,FLOT1,0.3995529,0.0112229876240112,7360
ENSG00000066468,FGFR2,0.39134538,0.0114970073109342,970
ENSG00000177807,KCNJ10,1.2723076,0.0121581714534572,14057
ENSG00000155380,SLC16A1,0.21973373,0.01606941065901,9739
ENSG00000164761,TNFRSF11B,0.563057,0.0173869767794457,11279
ENSG00000142949,PTPRF,0.21017742,0.0190693490323633,8195
ENSG00000164307,ERAP1,0.46903193,0.0210577972832866,11163
ENSG00000173482,PTPRM,0.26444355,0.0290649669966245,13288
ENSG00000164040,PGRMC2,0.5897982,0.0297026928163548,11057
ENSG00000171094,ALK,0.6060183,0.0382143293226929,12759
ENSG00000134539,KLRD1,0.33686244,0.0402426219494449,6832
ENSG00000123146,ADGRE5,1.2854468,0.0425118995657847,5299
ENSG00000180398,MCFD2,0.40762213,0.0430772947295178,14476
