receptor,ligand,n_db,m_r_score,m_l_score,m_r_lfc,m_l_lfc,h_r_score,h_l_score,h_r_lfc,h_l_lfc,m_strict,h_strict,conservation,m_mismatch_score,h_mismatch_score,avg_mismatch_score
ITGB1,LAMC2,4,118.2,-8.29,334.47,-11.44,5.8,-0.53,0.4347,-0.311,yes,trend,CONSERVED_relaxed,0.3162,0.0158,0.166
ITGB1,CD14,4,118.2,-6.61,334.47,-10.23,5.8,-0.54,0.4347,-0.3121,yes,trend,CONSERVED_relaxed,0.312,0.0158,0.1639
TNFRSF12A,TNFSF12,5,73.19,-33.49,60.92,-77.96,0.09,-0.11,0.0137,-0.1646,yes,trend,CONSERVED_relaxed,0.2667,0.0005,0.1336
FZD1,MYOC,3,35.67,-57.29,9.44,-153.04,0.14,-0.08,0.0488,-0.7036,yes,trend,CONSERVED_relaxed,0.2324,0.0006,0.1165
FZD4,MYOC,3,21.87,-57.29,-3.65,-153.04,1.21,-0.08,0.3064,-0.7036,yes,trend,CONSERVED_relaxed,0.1979,0.0032,0.1006
RYK,WNT3,4,74.84,-0.01,66.48,-1.15,2.58,-0.14,0.194,-0.4085,trend,trend,CONSERVED_relaxed,0.1871,0.0068,0.097
IL13RA1,IL4,4,71.18,-0.01,32.59,-0.07,0.77,-0.01,0.0854,-16.8069,trend,trend,CONSERVED_relaxed,0.178,0.002,0.09
ACVR1,BMP6,4,54.75,-9.31,21.96,-20.73,0.96,-0.28,0.0998,-0.463,yes,trend,CONSERVED_relaxed,0.1602,0.0031,0.0816
ADGRE5,CD55,5,17.17,-40.54,-10.88,-98.41,3.05,-3.59,1.2854,-0.5262,yes,yes,CONSERVED_strict,0.1443,0.0166,0.0804
FZD7,MYOC,3,5.14,-57.29,-3.99,-153.04,0.83,-0.08,0.1687,-0.7036,yes,trend,CONSERVED_relaxed,0.1561,0.0023,0.0792
IL1R1,IL1RN,4,56.05,-0.06,35.64,-1.56,5.35,-0.04,0.3548,-0.5114,trend,trend,CONSERVED_relaxed,0.1403,0.0135,0.0769
LRP6,RSPO1,4,42.56,-15.81,12.87,-24.78,1.67,-0.35,0.1581,-0.1317,yes,trend,CONSERVED_relaxed,0.1459,0.0051,0.0755
FAP,NPY,4,57.28,-0.29,22.2,-2.39,0.19,-0.02,0.8263,-18.4827,trend,trend,CONSERVED_relaxed,0.1439,0.0005,0.0722
ACVR1,GDF2,4,54.75,-0.53,21.96,-1.49,0.96,-0.01,0.0998,-17.8092,trend,trend,CONSERVED_relaxed,0.1382,0.0024,0.0703
ACVR1,AMH,4,54.75,-0.03,21.96,-1.28,0.96,-0.02,0.0998,-1.0318,trend,trend,CONSERVED_relaxed,0.137,0.0025,0.0697
BMPR2,BMP6,4,44.49,-9.31,15.12,-20.73,0.67,-0.28,0.029,-0.463,yes,trend,CONSERVED_relaxed,0.1345,0.0024,0.0684
PTPRF,CDH1,3,46.49,-0.61,18.68,-2.41,3.32,-0.93,0.2102,-1.2691,trend,trend,CONSERVED_relaxed,0.1177,0.0106,0.0642
OSMR,OSM,4,45.78,-0.12,16.35,-3.79,2.57,-0.01,0.1701,-16.9658,trend,trend,CONSERVED_relaxed,0.1147,0.0064,0.0606
DYSF,ANXA1,4,26.39,-14.03,7.92,-68.39,0.52,-6.85,0.1832,-0.6591,yes,trend,CONSERVED_relaxed,0.101,0.0184,0.0597
BMPR2,GDF2,4,44.49,-0.53,15.12,-1.49,0.67,-0.01,0.029,-17.8092,trend,trend,CONSERVED_relaxed,0.1126,0.0017,0.0571
LRP6,WNT3,4,42.56,-0.01,12.87,-1.15,1.67,-0.14,0.1581,-0.4085,trend,trend,CONSERVED_relaxed,0.1064,0.0045,0.0555
FZD8,WNT3,4,39.14,-0.01,17.09,-1.15,0.21,-0.14,0.1721,-0.4085,trend,trend,CONSERVED_relaxed,0.0979,0.0009,0.0494
EDNRA,EDN2,5,34.58,-0.71,10.08,-3.24,0.47,-0.28,0.0527,-3.0498,trend,trend,CONSERVED_relaxed,0.0882,0.0019,0.0451
FZD1,WNT3,4,35.67,-0.01,9.44,-1.15,0.14,-0.14,0.0488,-0.4085,trend,trend,CONSERVED_relaxed,0.0892,0.0007,0.045
EDNRA,EDN3,5,34.58,-0.05,10.08,-2.53,0.47,-0.02,0.0527,-18.9188,trend,trend,CONSERVED_relaxed,0.0866,0.0012,0.0439
IL6ST,EBI3,3,28.27,-0.25,5.93,-2.3,6.01,-0.06,0.3514,-0.9957,trend,trend,CONSERVED_relaxed,0.0713,0.0152,0.0432
IL6ST,OSM,4,28.27,-0.12,5.93,-3.79,6.01,-0.01,0.3514,-16.9658,trend,trend,CONSERVED_relaxed,0.071,0.015,0.043
NOTCH1,MFNG,4,28.94,-1.39,4.4,-5.04,1.81,-0.09,0.7993,-0.7836,trend,trend,CONSERVED_relaxed,0.0758,0.0048,0.0403
LTBR,TNFSF14,5,29.64,-0.01,-1.05,-0.67,1.3,-0.44,0.3147,-0.1477,trend,trend,CONSERVED_relaxed,0.0741,0.0044,0.0392
IL1RL2,IL18,3,18.85,-7.58,3.2,-9.99,0.81,-2.26,0.7793,-0.1677,yes,trend,CONSERVED_relaxed,0.0661,0.0077,0.0369
