receptor,ligand,n_db,m_r_score,m_l_score,m_r_lfc,m_l_lfc,h_r_score,h_l_score,h_r_lfc,h_l_lfc,m_strict,h_strict,conservation,m_mismatch_score,h_mismatch_score,avg_mismatch_score
CD46,2,4,2.09,,-0.22,,1.37,,0.0935,,no_data,no_data,neither,0.0,0.0,0.0
CR1,2,4,,,,,0.36,,1.0482,,no_data,no_data,neither,0.0,0.0,0.0
LRP1,A2M,4,-46.22,1.8,-169.36,2.84,11.54,3.09,0.9567,0.4163,no,no,neither,0.0,0.0,0.0
MTNR1A,AANAT,4,3.9,0.02,6.81,21.57,0.02,0.09,1.038,1.0671,no,no,neither,0.0,0.0,0.0
MTNR1B,AANAT,4,,0.02,,21.57,-0.0,0.09,-15.3835,1.0671,no_data,no,neither,0.0,0.0,0.0
AGTR2,ACE,3,0.14,-60.74,0.07,-150.11,0.03,0.18,3.1456,0.7456,trend,no,mouse_only,0.1522,0.0,0.0761
BDKRB2,ACE,4,-0.14,-60.74,-1.71,-150.11,-1.16,0.18,-0.485,0.7456,no,no,neither,0.0,0.0,0.0
AXL,ADAM10,3,-69.06,46.57,-250.87,15.8,1.59,5.59,0.2969,0.391,no,no,neither,0.0,0.0,0.0
EPHA3,ADAM10,4,13.72,46.57,5.34,15.8,0.67,5.59,0.218,0.391,no,no,neither,0.0,0.0,0.0
ITGA9,ADAM12,4,35.45,81.37,12.0,47.27,0.41,1.35,0.0215,1.2231,no,no,neither,0.0,0.0,0.0
ITGB1,ADAM12,4,118.2,81.37,334.47,47.27,5.8,1.35,0.4347,1.2231,no,no,neither,0.0,0.0,0.0
SDC4,ADAM12,4,10.67,81.37,-41.42,47.27,4.42,1.35,0.6729,1.2231,no,no,neither,0.0,0.0,0.0
ITGA5,ADAM15,4,33.0,26.79,17.47,-6.47,0.93,2.88,0.3136,0.5689,no,no,neither,0.0,0.0,0.0
ITGA9,ADAM15,4,35.45,26.79,12.0,-6.47,0.41,2.88,0.0215,0.5689,no,no,neither,0.0,0.0,0.0
ITGAV,ADAM15,4,71.96,26.79,50.48,-6.47,1.38,2.88,0.1033,0.5689,no,no,neither,0.0,0.0,0.0
ITGB1,ADAM15,4,118.2,26.79,334.47,-6.47,5.8,2.88,0.4347,0.5689,no,no,neither,0.0,0.0,0.0
ITGB3,ADAM15,4,13.35,26.79,4.57,-6.47,0.53,2.88,0.295,0.5689,no,no,neither,0.0,0.0,0.0
ERBB4,ADAM17,3,-0.17,25.44,-1.86,0.94,-2.58,0.82,-0.0342,0.0348,no,no,neither,0.0,0.0,0.0
ITGA5,ADAM17,4,33.0,25.44,17.47,0.94,0.93,0.82,0.3136,0.0348,no,no,neither,0.0,0.0,0.0
ITGB1,ADAM17,4,118.2,25.44,334.47,0.94,5.8,0.82,0.4347,0.0348,no,no,neither,0.0,0.0,0.0
NOTCH1,ADAM17,4,28.94,25.44,4.4,0.94,1.81,0.82,0.7993,0.0348,no,no,neither,0.0,0.0,0.0
CD9,ADAM2,3,-92.82,0.02,-inf,1.6,2.04,0.08,0.165,1.2109,no,no,neither,0.0,0.0,0.0
ITGA6,ADAM2,4,-12.95,0.02,-34.28,1.6,0.81,0.08,0.1204,1.2109,no,no,neither,0.0,0.0,0.0
ITGA9,ADAM2,4,35.45,0.02,12.0,1.6,0.41,0.08,0.0215,1.2109,no,no,neither,0.0,0.0,0.0
ITGB1,ADAM2,4,118.2,0.02,334.47,1.6,5.8,0.08,0.4347,1.2109,no,no,neither,0.0,0.0,0.0
ITGB7,ADAM2,4,0.08,0.02,-1.53,1.6,0.05,0.08,0.3004,1.2109,no,no,neither,0.0,0.0,0.0
ITGA5,ADAM23,3,33.0,4.26,17.47,0.42,0.93,1.07,0.3136,0.6056,no,no,neither,0.0,0.0,0.0
ITGB3,ADAM23,3,13.35,4.26,4.57,0.42,0.53,1.07,0.295,0.6056,no,no,neither,0.0,0.0,0.0
ITGA4,ADAM28,4,0.71,0.21,-0.63,-3.95,-0.12,0.02,-0.2517,0.072,no,no,neither,0.0,0.0,0.0
ITGA3,ADAM9,4,-2.54,46.07,-1.81,16.37,3.94,1.27,0.3865,0.1497,no,no,neither,0.0,0.0,0.0
ITGA6,ADAM9,4,-12.95,46.07,-34.28,16.37,0.81,1.27,0.1204,0.1497,no,no,neither,0.0,0.0,0.0
ITGAV,ADAM9,4,71.96,46.07,50.48,16.37,1.38,1.27,0.1033,0.1497,no,no,neither,0.0,0.0,0.0
ITGB1,ADAM9,4,118.2,46.07,334.47,16.37,5.8,1.27,0.4347,0.1497,no,no,neither,0.0,0.0,0.0
ITGB5,ADAM9,4,65.68,46.07,150.65,16.37,0.11,1.27,-0.0112,0.1497,no,no,neither,0.0,0.0,0.0
ADCYAP1R1,ADCYAP1,5,5.53,,-4.19,,0.04,-0.67,1.0086,-0.5711,no_data,trend,human_only,0.0,0.0018,0.0009
SCTR,ADCYAP1,4,-0.0,,-0.05,,1.67,-0.67,1.651,-0.5711,no_data,trend,human_only,0.0,0.0058,0.0029
VIPR1,ADCYAP1,5,0.84,,1.97,,-0.21,-0.67,-1.2746,-0.5711,no_data,no,neither,0.0,0.0,0.0
VIPR2,ADCYAP1,5,-3.76,,-5.05,,6.59,-0.67,0.5559,-0.5711,no_data,trend,human_only,0.0,0.0181,0.0091
ADIPOR1,ADIPOQ,4,17.25,0.05,-16.32,-3.87,-0.21,-0.08,-0.1556,-0.8446,no,no,neither,0.0,0.0,0.0
ADIPOR2,ADIPOQ,4,24.77,0.05,-0.55,-3.87,0.24,-0.08,-0.0327,-0.8446,no,trend,human_only,0.0,0.0008,0.0004
CALCR,ADM,4,-0.01,-28.23,-1.89,-123.3,0.15,1.46,0.5591,0.7234,no,no,neither,0.0,0.0,0.0
CALCRL,ADM,4,-7.86,-28.23,-21.28,-123.3,1.6,1.46,0.2452,0.7234,no,no,neither,0.0,0.0,0.0
GPR182,ADM,3,-2.49,-28.23,-6.34,-123.3,,1.46,,0.7234,no,no,neither,0.0,0.0,0.0
MRGPRX2,ADM,3,,-28.23,,-123.3,0.01,1.46,-0.364,0.7234,no_data,no,neither,0.0,0.0,0.0
RAMP2,ADM,4,-108.39,-28.23,-349.87,-123.3,0.66,1.46,0.2429,0.7234,no,no,neither,0.0,0.0,0.0
RAMP3,ADM,3,-1.34,-28.23,-5.51,-123.3,0.4,1.46,0.3053,0.7234,no,no,neither,0.0,0.0,0.0
CALCR,ADM2,4,-0.01,0.46,-1.89,1.47,0.15,-0.01,0.5591,-16.41,no,trend,human_only,0.0,0.0004,0.0002
CALCRL,ADM2,4,-7.86,0.46,-21.28,1.47,1.6,-0.01,0.2452,-16.41,no,trend,human_only,0.0,0.004,0.002
RAMP1,ADM2,4,1.36,0.46,-7.4,1.47,2.92,-0.01,0.5577,-16.41,no,trend,human_only,0.0,0.0073,0.0037
EPHA7,AFDN,4,57.53,22.4,31.96,-6.35,0.82,-8.55,0.3969,-0.439,no,trend,human_only,0.0,0.0234,0.0117
EPHB2,AFDN,4,26.23,22.4,10.12,-6.35,2.6,-8.55,0.5655,-0.439,no,trend,human_only,0.0,0.0279,0.0139
EPHB3,AFDN,4,32.33,22.4,11.25,-6.35,0.56,-8.55,0.2887,-0.439,no,trend,human_only,0.0,0.0228,0.0114
EPHB6,AFDN,4,17.25,22.4,6.09,-6.35,5.26,-8.55,0.4746,-0.439,no,yes,human_only,0.0,0.0345,0.0173
F11R,AFDN,4,-15.15,22.4,-25.07,-6.35,0.29,-8.55,0.0321,-0.439,no,trend,human_only,0.0,0.0221,0.0111
NECTIN1,AFDN,4,7.73,22.4,-5.82,-6.35,0.27,-8.55,0.1755,-0.439,no,trend,human_only,0.0,0.0221,0.011
NECTIN2,AFDN,4,39.08,22.4,11.86,-6.35,-2.81,-8.55,-0.4333,-0.439,no,no,neither,0.0,0.0,0.0
NECTIN3,AFDN,4,53.45,22.4,19.34,-6.35,2.5,-8.55,0.2372,-0.439,no,trend,human_only,0.0,0.0276,0.0138
NECTIN4,AFDN,4,0.36,22.4,0.29,-6.35,0.06,-8.55,1.5088,-0.439,no,trend,human_only,0.0,0.0215,0.0108
NRXN2,AFDN,3,-34.85,22.4,-45.37,-6.35,0.18,-8.55,0.7397,-0.439,no,trend,human_only,0.0,0.0218,0.0109
NRXN3,AFDN,3,0.05,22.4,-1.17,-6.35,-3.13,-8.55,-0.7341,-0.439,no,no,neither,0.0,0.0,0.0
ATP1A3,AGRN,4,0.11,36.25,-0.12,14.16,2.29,0.12,1.107,0.2944,no,no,neither,0.0,0.0,0.0
LRP4,AGRN,4,-1.18,36.25,-9.55,14.16,-0.29,0.12,-0.6005,0.2944,no,no,neither,0.0,0.0,0.0
MUSK,AGRN,4,0.21,36.25,-0.86,14.16,7.0,0.12,1.3092,0.2944,no,no,neither,0.0,0.0,0.0
MC3R,AGRP,5,,0.94,,-0.36,,-0.01,,-17.5178,no_data,no,neither,0.0,0.0,0.0
MC4R,AGRP,5,-0.02,0.94,-2.94,-0.36,0.03,-0.01,2.3661,-17.5178,no,trend,human_only,0.0,0.0001,0.0001
MC5R,AGRP,5,1.26,0.94,2.13,-0.36,,-0.01,,-17.5178,no,no,neither,0.0,0.0,0.0
SDC3,AGRP,4,65.09,0.94,28.9,-0.36,1.53,-0.01,0.9631,-17.5178,no,trend,human_only,0.0,0.0039,0.0019
AGTR1,AGT,5,,2.63,,0.01,1.96,1.2,0.896,0.5363,no_data,no,neither,0.0,0.0,0.0
AGTR2,AGT,5,0.14,2.63,0.07,0.01,0.03,1.2,3.1456,0.5363,no,no,neither,0.0,0.0,0.0
LRP2,AGT,4,-4.47,2.63,-3.07,0.01,1.3,1.2,0.123,0.5363,no,no,neither,0.0,0.0,0.0
MAS1,AGT,4,-0.0,2.63,-1.42,0.01,0.04,1.2,1.0616,0.5363,no,no,neither,0.0,0.0,0.0
INSR,AHSG,4,13.64,-7.43,0.6,-14.43,4.49,0.03,0.2877,1.8695,yes,no,mouse_only,0.0527,0.0,0.0263
LRP2,ALB,4,-4.47,-0.01,-3.07,-0.66,1.3,-0.03,0.123,-0.4061,no,trend,human_only,0.0,0.0033,0.0017
LAMP1,AMELX,4,-18.59,0.01,-82.14,-0.46,2.42,-0.02,0.3148,-18.7097,no,trend,human_only,0.0,0.0061,0.0031
LAMP1,AMELY,3,-18.59,,-82.14,,2.42,0.04,0.3148,0.905,no_data,no,neither,0.0,0.0,0.0
ACVR1,AMH,4,54.75,-0.03,21.96,-1.28,0.96,-0.02,0.0998,-1.0318,trend,trend,CONSERVED_relaxed,0.137,0.0025,0.0697
AMHR2,AMH,4,-4.04,-0.03,-2.87,-1.28,0.63,-0.02,0.4113,-1.0318,no,trend,human_only,0.0,0.0016,0.0008
EGFR,AMH,4,36.78,-0.03,9.12,-1.28,-0.87,-0.02,-0.0943,-1.0318,trend,no,mouse_only,0.092,0.0,0.046
ITGA5,ANGPT1,4,33.0,18.57,17.47,-0.02,0.93,0.93,0.3136,0.284,no,no,neither,0.0,0.0,0.0
ITGB1,ANGPT1,3,118.2,18.57,334.47,-0.02,5.8,0.93,0.4347,0.284,no,no,neither,0.0,0.0,0.0
TEK,ANGPT1,5,-27.57,18.57,-47.81,-0.02,0.47,0.93,0.0175,0.284,no,no,neither,0.0,0.0,0.0
TIE1,ANGPT1,4,-3.76,18.57,-11.24,-0.02,0.4,0.93,0.5033,0.284,no,no,neither,0.0,0.0,0.0
TEK,ANGPT2,5,-27.57,13.04,-47.81,4.39,0.47,3.48,0.0175,1.2065,no,no,neither,0.0,0.0,0.0
TIE1,ANGPT2,3,-3.76,13.04,-11.24,4.39,0.4,3.48,0.5033,1.2065,no,no,neither,0.0,0.0,0.0
TEK,ANGPT4,5,-27.57,1.23,-47.81,-2.12,0.47,-0.07,0.0175,-20.4359,no,trend,human_only,0.0,0.0013,0.0007
TEK,ANGPTL1,4,-27.57,8.28,-47.81,-8.47,0.47,1.33,0.0175,0.6301,no,no,neither,0.0,0.0,0.0
ITGA5,ANGPTL3,4,33.0,-0.04,17.47,-1.39,0.93,0.08,0.3136,4.3209,trend,no,mouse_only,0.0826,0.0,0.0413
ITGAV,ANGPTL3,4,71.96,-0.04,50.48,-1.39,1.38,0.08,0.1033,4.3209,trend,no,mouse_only,0.18,0.0,0.09
