ligand,receptor
Calm1,Trpc3
S100a10,Trpv6
Notch1,Jag2
Jag2,Notch1
Dll1,Notch1
Notch1,Dll1
Igf1,Igf1r
Notch1,Jag1
Jag1,Notch1
Tgfa,Erbb2
Sfrp2,Wnt4
Sfrp1,Wnt4
Sfrp2,Wnt1
Sfrp1,Wnt2
Sfrp1,Wnt1
Wnt5a,Fzd2
Il22,Il10rb
Epo,Epor
Epor,Epo
Cxcl16,Cxcr6
Ccl3l1,Ccr5
Tnfsf10,Tnfrsf10c
Il10,Il10ra
Ifng,Ifngr1
Igf2,Igf2r
Flt3lg,Flt3
Kitlg,Kit
Igf2,Igf1r
Cxcl9,Cxcr3
Ccl5,Ccr5
Ccl8,Ccr5
Ccl4,Ccr5
Il6,Il6st
Egfr,Egf
Egf,Egfr
Il1a,Il1r1
Dkk1,Lrp6
Dkk1,Lrp5
Wnt5a,Fzd5
Fpr2,Anxa1
Gnai2,Mtnr1a
Mtnr1a,Gnai2
Cd28,Cd86
Cd86,Cd28
Cd28,Cd80
Cd80,Cd28
Anxa1,Fpr2
Tnfsf14,Ltbr
Cd40lg,Cd40
Lta,Tnfrsf1a
Ltbr,Ltb
Ltb,Ltbr
Nrg1,Erbb2
Ndp,Fzd4
Ngf,Ntrk1
Il4,Il4r
Timd4,Havcr1
Sfrp1,Fzd6
Egfr,Tgfa
Tgfa,Egfr
Mfng,Notch2
Ceacam1,Egfr
Cxcl10,Cxcr3
Csf3,Csf3r
Csf2,Csf2ra
Hgf,Met
Tnf,Tnfrsf1b
Tnfrsf1b,Tnf
Ins,Insr
Tnfsf9,Tnfrsf9
Tnfrsf9,Tnfsf9
Fadd,Fas
Cd27,Cd70
Cd70,Cd27
Fas,Faslg
Faslg,Fas
Tnfsf10,Tnfrsf10d
Tnfrsf10b,Tnfsf10
Tnfsf10,Tnfrsf10b
Tnfrsf10a,Tnfsf10
Tnfsf10,Tnfrsf10a
Fadd,Tradd
Tnf,Tnfrsf1a
Tnfrsf1a,Tnf
Shh,Ptch1
Dhh,Ptch1
Ihh,Ptch1
Gnrh1,Gnrhr
Wnt5a,Ror2
Lgals9,Havcr2
Jag1,Notch2
Notch2,Jag1
Jag1,Notch3
Notch3,Jag1
Tgfb1,Acvrl1
Shh,Ptch2
Wnt4,Fzd6
Notch2,Jag2
Jag2,Notch2
Notch3,Jag2
Jag2,Notch3
Wnt1,Lrp6
Wnt1,Ryk
Il6,Il6r
Tgfb3,Tgfbr2
Tgfb3,Tgfbr3
Tgfb2,Tgfbr3
Tgfb2,Tgfbr2
Tgfb2,Tgfbr1
Wnt3a,Ryk
Cxcl11,Cxcr3
Dkk1,Kremen1
Wnt3a,Fzd1
Wnt2,Fzd1
Wnt3,Fzd1
Wnt5a,Fzd1
Arf4,Egfr
Dkk1,Kremen2
Ctla4,Cd80
Cd80,Ctla4
Psen1,Notch1
Il1rn,Il1r1
Wnt7a,Fzd5
Psen1,Notch3
Il2,Il2rg
Il2,Il2rb
Il2,Il2ra
Dhh,Ptch2
Psen1,Notch2
Plxna1,Notch1
Ccn3,Notch1
Il3,Csf2rb
Wnt3a,Lrp6
Cntn1,Notch2
Cntn1,Notch1
Il1rn,Il1r2
Il5,Il5ra
Il9,Il2rg
Ctla4,Cd86
Cd86,Ctla4
Ihh,Ptch2
Il1b,Il1r2
Ngf,Ngfr
Il3,Il3ra
Il7,Il7r
Psen1,Notch4
Icoslg,Icos
Icos,Icoslg
Shh,Gas1
Il1a,Il1r2
Wnt1,Lrp5
Tgfb1,Tgfbr2
Tgfb1,Tgfbr3
Tgfbr3,Tgfb1
Tgfb1,Tgfbr1
Il9,Il9r
Dll1,Notch2
Notch2,Dll1
Dll1,Notch3
Notch3,Dll1
Notch4,Dll4
Dll4,Notch4
Il1b,Il1r1
Lif,Lifr
Il13,Il13ra1
Il13,Il13ra2
Bmp2,Bmpr2
Gdf5,Bmpr2
Prl,Prlr
Gh1,Prlr
Gh1,Ghr
Ifng,Ifngr2
Tslp,Crlf2
Ins,Igf1r
Il12a,Il12rb1
Ifna1,Ifnar1
Ifnb1,Ifnar1
Ifna1,Ifnar2
Ifnb1,Ifnar2
Il15,Il15ra
Nrg3,Erbb4
Nrg1,Erbb4
Frzb,Wnt1
Shh,Hhip
Hhip,Shh
Egfr,Areg
Areg,Egfr
Egfr,Hbegf
Hbegf,Egfr
Nrg4,Erbb4
Adam10,Notch2
Dll3,Notch1
Wnt5a,Fzd4
Il23a,Il12rb1
Notch1,Dll4
Dll4,Notch1
Shh,Lrp2
Il23a,Il23r
Psen1,Ncstn
Lrig1,Egfr
Il31,Osmr
Osm,Osmr
Il21,Il21r
Amh,Amhr2
Inhba,Acvr2b
Bmp7,Acvr2b
Bmp2,Acvr2b
Bmp7,Bmpr2
Bmp6,Bmpr2
Gdf6,Bmpr2
Bmp4,Bmpr2
Shh,Boc
Il20,Il22ra1
Il24,Il22ra1
Il26,Il20ra
Il19,Il20ra
Il20,Il20ra
Il24,Il20ra
Il27,Il27ra
Mfap5,Notch1
Ctf1,Il6st
Mtmr4,Smad3
Pdgfc,Pdgfra
Pdgfc,Pdgfrb
Pdgfa,Pdgfra
Pdgfb,Pdgfra
Fgf1,Fgfr1
Fgf1,Fgfr2
