gene,druggability_auto,literature_auto,pubmed_count,dgidb_interactions,dgidb_approved,deliver_category,deliver_score,uniprot_locations
ICAM1,0.573,1.0,3053.0,6.0,2.0,membrane,0.5,Cell membrane
PVR,0.0,1.0,3360.0,0.0,0.0,secreted,1.0,Cell membrane | Cell membrane | Secreted | Secreted
IL18,0.666,1.0,1654.0,19.0,7.0,secreted,1.0,"Cytoplasm, cytosol | Secreted"
IL2,0.77,1.0,1800.0,64.0,33.0,secreted,1.0,Secreted
IL4,0.559,1.0,1623.0,5.0,1.0,secreted,1.0,Secreted
FAS,0.962,1.0,1975.0,58.0,18.0,secreted,1.0,Cell membrane | Membrane raft | Secreted | Secreted | Secreted | Secreted | Secreted
MARCO,0.0,1.0,4133.0,0.0,0.0,membrane,0.5,Cell membrane
EGFR,0.8,1.0,8804.0,192.0,60.0,secreted,1.0,Cell membrane | Endoplasmic reticulum membrane | Golgi apparatus membrane | Nucleus membrane | Endosome | Endosome membrane | Nucleus | Secreted
NODAL,0.261,1.0,9116.0,1.0,0.0,secreted,1.0,Secreted
CD14,0.62,1.0,1498.0,11.0,3.0,secreted,1.0,Cell membrane | Secreted | Membrane raft | Golgi apparatus
FGF2,0.72,0.959,1111.0,36.0,19.0,secreted,1.0,Secreted | Nucleus
LPL,0.699,0.948,1021.0,28.0,18.0,secreted,1.0,"Cell membrane | Secreted | Secreted, extracellular space, extracellular matrix"
TGFB1,0.763,0.927,876.0,59.0,33.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix | Secreted"
ERBB2,0.8,0.925,866.0,153.0,64.0,membrane,0.5,"Cell membrane | Cell projection, ruffle membrane | Cell membrane | Early endosome | Cytoplasm, perinuclear region | Nucleus | Cytoplasm | Nucleus | Cytoplasm | Nucleus"
NPY,0.62,0.919,828.0,11.0,4.0,secreted,1.0,"Secreted | Cytoplasmic vesicle, secretory vesicle, neuronal dense core vesicle"
NOTCH1,0.595,0.904,742.0,8.0,2.0,membrane,0.5,Cell membrane | Late endosome membrane | Nucleus
CD44,0.666,0.877,610.0,19.0,7.0,secreted,1.0,"Cell membrane | Cell projection, microvillus | Secreted"
PGF,0.523,0.868,571.0,3.0,1.0,secreted,1.0,Secreted
BMP2,0.543,0.867,566.0,4.0,1.0,secreted,1.0,Secreted
BMP4,0.0,0.86,538.0,0.0,0.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix"
FAP,0.634,0.86,536.0,13.0,1.0,secreted,1.0,"Cell surface | Cell membrane | Cell projection, lamellipodium membrane | Cell projection, invadopodium membrane | Cell projection, ruffle membrane | Membrane | Secreted | Cytoplasm"
BMPR2,0.773,0.841,468.0,6.0,3.0,membrane,0.5,Cell membrane
PF4,0.0,0.82,401.0,0.0,0.0,secreted,1.0,Secreted
TRH,0.559,0.809,371.0,5.0,3.0,secreted,1.0,Secreted
TGFBR1,0.384,0.779,297.0,7.0,0.0,membrane,0.5,"Cell membrane | Cell junction, tight junction | Cell surface | Membrane raft"
HRAS,0.793,0.757,252.0,83.0,35.0,membrane,0.5,"Cell membrane | Golgi apparatus | Golgi apparatus membrane | Nucleus | Cytoplasm | Cytoplasm, perinuclear region"
IGF2,0.661,0.754,248.0,18.0,10.0,secreted,1.0,Secreted
IL15,0.64,0.748,236.0,14.0,5.0,secreted,1.0,Secreted | Cytoplasm | Nucleus
FGF1,0.804,0.744,229.0,9.0,2.0,secreted,1.0,"Secreted | Cytoplasm | Cytoplasm, cell cortex | Cytoplasm, cytosol | Nucleus"
AMH,0.856,0.733,212.0,17.0,5.0,secreted,1.0,Secreted
OSM,0.297,0.724,199.0,2.0,0.0,secreted,1.0,Secreted
NOTCH3,0.559,0.701,167.0,5.0,1.0,membrane,0.5,Cell membrane | Nucleus
MMP12,0.604,0.699,165.0,9.0,4.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix"
IL1RN,0.543,0.694,159.0,4.0,4.0,secreted,1.0,Secreted | Cytoplasm | Cytoplasm | Cytoplasm
NAMPT,0.559,0.685,149.0,5.0,1.0,secreted,1.0,Nucleus | Cytoplasm | Secreted
FGFR2,0.997,0.675,138.0,87.0,27.0,secreted,1.0,Cell membrane | Golgi apparatus | Cytoplasmic vesicle | Cell membrane | Cell membrane | Secreted | Secreted
DKK1,0.604,0.673,136.0,9.0,5.0,secreted,1.0,Secreted
ANGPT1,0.87,0.673,136.0,20.0,3.0,secreted,1.0,Secreted
TNFRSF11B,0.584,0.661,125.0,7.0,5.0,secreted,1.0,Secreted
BMP7,0.613,0.657,121.0,10.0,10.0,secreted,1.0,Secreted
PLAUR,0.595,0.656,120.0,8.0,3.0,secreted,1.0,"Cell membrane | Cell projection, invadopodium membrane | Cell membrane | Secreted"
IL6ST,0.523,0.651,116.0,3.0,3.0,secreted,1.0,Cell membrane | Secreted
ITGB3,0.646,0.646,112.0,15.0,5.0,membrane,0.5,"Cell membrane | Cell projection, lamellipodium membrane | Cell junction, focal adhesion | Postsynaptic cell membrane | Synapse"
CNTF,0.461,0.639,106.0,1.0,1.0,intracellular,0.1,Cytoplasm
FGF10,0.0,0.627,97.0,0.0,0.0,secreted,1.0,Secreted
IL1R1,0.634,0.626,96.0,13.0,7.0,secreted,1.0,Membrane | Cell membrane | Secreted
SDC1,0.497,0.623,94.0,2.0,1.0,secreted,1.0,"Membrane | Secreted | Secreted, extracellular exosome"
BTC,0.795,0.618,91.0,8.0,3.0,secreted,1.0,"Secreted, extracellular space | Cell membrane"
INSR,0.979,0.617,90.0,71.0,42.0,membrane,0.5,Cell membrane | Late endosome | Lysosome
IGF2R,0.497,0.615,89.0,2.0,1.0,membrane,0.5,Golgi apparatus membrane | Endosome membrane
BMPR1A,0.697,0.615,89.0,2.0,2.0,membrane,0.5,Cell membrane | Cell surface
LRP6,0.0,0.614,88.0,0.0,0.0,membrane,0.5,Cell membrane | Endoplasmic reticulum | Membrane raft
AHSG,0.0,0.611,86.0,0.0,0.0,secreted,1.0,Secreted
DYSF,0.0,0.603,81.0,0.0,0.0,membrane,0.5,"Cell membrane, sarcolemma | Cytoplasmic vesicle membrane | Cell membrane | Late endosome membrane"
TNFSF10,0.323,0.601,80.0,3.0,0.0,secreted,1.0,Cell membrane | Secreted
MERTK,0.359,0.599,79.0,5.0,0.0,membrane,0.5,Cell membrane
IL16,0.0,0.599,79.0,0.0,0.0,secreted,1.0,Secreted | Cytoplasm | Cytoplasm | Nucleus
ANXA1,0.938,0.596,77.0,44.0,23.0,secreted,1.0,"Nucleus | Cytoplasm | Cell projection, cilium | Cell membrane | Membrane | Endosome membrane | Basolateral cell membrane | Apical cell membrane | Lateral cell membrane | Secreted | Secreted, extracellular space | Cell membrane | Secreted, extracellular exosome | Cytoplasmic vesicle, secretory vesicle lumen | Cell projection, phagocytic cup | Early endosome | Cytoplasmic vesicle membrane"
CCN1,0.323,0.596,77.0,3.0,0.0,secreted,1.0,Secreted
LAMA2,0.461,0.589,73.0,1.0,1.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix, basement membrane"
PENK,0.0,0.589,73.0,0.0,0.0,secreted,1.0,"Cytoplasmic vesicle, secretory vesicle, chromaffin granule lumen | Secreted"
GDF2,0.72,0.587,72.0,36.0,6.0,secreted,1.0,Secreted
RYK,0.0,0.587,72.0,0.0,0.0,membrane,0.5,Membrane | Nucleus | Cytoplasm
CDH1,0.543,0.583,70.0,4.0,1.0,membrane,0.5,"Cell junction, adherens junction | Cell membrane | Endosome | Golgi apparatus, trans-Golgi network | Cytoplasm | Cell junction, desmosome"
ITGB1,0.627,0.583,70.0,12.0,2.0,membrane,0.5,"Cell membrane | Cell projection, invadopodium membrane | Cell projection, ruffle membrane | Recycling endosome | Melanosome | Cleavage furrow | Cell projection, lamellipodium | Cell junction, focal adhesion | Cell membrane, sarcolemma | Cell junction"
WNT3,0.0,0.581,69.0,0.0,0.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix | Secreted"
OXT,0.497,0.579,68.0,2.0,2.0,secreted,1.0,Secreted
GAS6,0.523,0.569,63.0,3.0,2.0,secreted,1.0,Secreted
IL1R2,0.497,0.569,63.0,2.0,1.0,secreted,1.0,Secreted | Cell membrane
BMP6,0.0,0.56,59.0,0.0,0.0,secreted,1.0,Secreted
TSHR,1.0,0.558,58.0,94.0,22.0,membrane,0.5,Cell membrane | Basolateral cell membrane
LRP5,0.1,0.558,58.0,0.0,0.0,membrane,0.5,Membrane | Endoplasmic reticulum
TNFSF12,0.297,0.543,52.0,2.0,0.0,secreted,1.0,Cell membrane | Secreted | Cell membrane
NTN1,0.0,0.54,51.0,0.0,0.0,secreted,1.0,Secreted | Cytoplasm
CCR6,0.323,0.538,50.0,3.0,0.0,membrane,0.5,Cell membrane
EDNRA,0.682,0.538,50.0,23.0,8.0,membrane,0.5,Cell membrane
AGRP,0.0,0.535,49.0,0.0,0.0,secreted,1.0,Secreted | Golgi apparatus lumen
OXTR,0.861,0.529,47.0,18.0,9.0,membrane,0.5,Cell membrane
IL12B,0.64,0.526,46.0,14.0,7.0,secreted,1.0,Secreted
NOTCH4,0.573,0.524,45.0,6.0,2.0,membrane,0.5,Cell membrane | Nucleus
IL2RG,0.813,0.524,45.0,10.0,4.0,membrane,0.5,Cell membrane | Cell surface
ACVR1,0.882,0.524,45.0,23.0,4.0,membrane,0.5,Membrane
TNFRSF12A,0.461,0.521,44.0,1.0,0.0,membrane,0.5,Membrane
NID1,0.0,0.521,44.0,0.0,0.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix, basement membrane"
NRP2,0.461,0.517,43.0,1.0,1.0,secreted,1.0,Secreted
TGM2,0.727,0.514,42.0,39.0,22.0,secreted,1.0,"Cytoplasm, cytosol | Nucleus | Chromosome | Secreted, extracellular space, extracellular matrix | Cell membrane | Mitochondrion | Cytoplasm, perinuclear region"
IL23R,0.523,0.511,41.0,3.0,3.0,membrane,0.5,Cell membrane
ARF1,0.523,0.508,40.0,3.0,3.0,membrane,0.5,"Golgi apparatus membrane | Synapse, synaptosome | Postsynaptic density"
