rank,receptor,ligand,r_logfc,l_logfc,l_padj,n_db,db_weight,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway
1,Unc5b,Ntn1,59.5,-35.44,2.2899630889175643e-151,5,1.0,1.0,1,1,1.0,Other
2,Neo1,Rgmb,49.09,-66.8,0.0,4,0.8,1.0,4,4,0.8,Other
3,Neo1,Rgma,49.09,-33.87,1.176836588239294e-32,4,0.8,1.0,4,4,0.8,Other
4,Neo1,Ntn1,49.09,-35.44,2.2899630889175643e-151,4,0.8,1.0,4,4,0.8,Other
5,Ogfr,Penk,16.17,-129.5,0.0,4,0.8,1.0,1,1,0.8,Other
6,Nectin2,Afdn,11.86,-6.35,2.295930398484685e-110,4,0.8,1.0,1,1,0.508,Other
7,Itgb5,Ccn1,150.65,-156.37,1.3397951598724683e-235,4,0.8,0.6,3,5,0.48,Other
8,Itgb5,Ltbp1,150.65,-25.43,0.0434082080561031,4,0.8,0.6,3,5,0.48,Other
9,Adora2b,Ntn1,5.66,-35.44,2.2899630889175643e-151,4,0.8,1.0,1,1,0.4531,Other
10,Tyro3,Gas6,8.31,-14.0,9.195792804308949e-45,5,1.0,0.5,1,2,0.4157,Other
11,Itgb8,Vtn,12.0,-120.41,6.644433391825109e-25,4,0.8,0.5,2,4,0.4,Other
12,Acvr1,Inhbb,21.96,-15.34,1.109667392529749e-07,4,0.8,0.444,4,9,0.3556,BMP/Activin
13,Acvr1,Bmp6,21.96,-20.73,3.4077937903842886e-20,4,0.8,0.444,4,9,0.3556,BMP/Activin
14,Plxnb2,Sema4c,18.9,-15.07,3.8136898665436685e-05,5,1.0,0.333,1,3,0.3333,Other
15,Bmpr2,Bmp2,15.12,-12.8,1.2892853069774322e-31,4,0.8,0.4,4,10,0.32,BMP
16,Bmpr2,Bmp6,15.12,-20.73,3.4077937903842886e-20,4,0.8,0.4,4,10,0.32,BMP
17,Bmpr2,Bmp4,15.12,-73.53,0.0,4,0.8,0.4,4,10,0.32,BMP
18,Fgfrl1,Fgf2,43.27,-3.87,3.610811962636146e-46,4,0.8,1.0,1,1,0.31,FGF
19,Bmpr1a,Bmp4,9.56,-73.53,0.0,4,0.8,0.4,4,10,0.306,BMP
20,Bmpr1a,Bmp6,9.56,-20.73,3.4077937903842886e-20,4,0.8,0.4,4,10,0.306,BMP
21,Bmpr1a,Bmp2,9.56,-12.8,1.2892853069774322e-31,4,0.8,0.4,4,10,0.306,BMP
22,Plxna4,Sema6a,9.79,-7.57,0.0035852837913039,4,0.8,0.5,1,2,0.2965,Sema
23,Epha7,Efna1,31.96,-5.8,8.936455050643615e-10,5,1.0,0.5,3,6,0.29,Other
24,Itgb8,Tgfb1,12.0,-6.73,1.906931661343303e-127,4,0.8,0.5,2,4,0.2692,Other
25,Acvr1,Bmp2,21.96,-12.8,1.2892853069774322e-31,3,0.6,0.444,4,9,0.2667,BMP/Activin
26,Fas,Tnfsf13,26.55,-3.27,1.870515367649137e-07,4,0.8,1.0,1,1,0.2619,Other
27,Epha7,Afdn,31.96,-6.35,2.295930398484685e-110,4,0.8,0.5,3,6,0.254,Other
28,Ephb3,Afdn,11.25,-6.35,2.295930398484685e-110,4,0.8,0.5,2,4,0.254,Other
29,Itga5,Vtn,17.47,-120.41,6.644433391825109e-25,4,0.8,0.308,4,13,0.2462,Other
30,Itga5,Ccn1,17.47,-156.37,1.3397951598724683e-235,4,0.8,0.308,4,13,0.2462,Other
31,Itgav,Vtn,50.48,-120.41,6.644433391825109e-25,4,0.8,0.294,5,17,0.2353,Other
32,Itgav,Col4a3,50.48,-24.83,2.2243661695266457e-121,4,0.8,0.294,5,17,0.2353,Other
33,Itgav,Ccn1,50.48,-156.37,1.3397951598724683e-235,4,0.8,0.294,5,17,0.2353,Other
