rank,receptor,ligand,r_score,r_logfc,l_score,l_logfc,l_padj,n_db,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway
1,Unc5b,Ntn1,88.74,59.5,-26.28,-35.44,2.2899630889175643e-151,5,1.0,1,1,0.0583,Other
2,Ogfr,Penk,48.03,16.17,-60.14,-129.5,0.0,4,1.0,1,1,0.0578,Other
3,Neo1,Rgmb,83.4,49.09,-40.15,-66.8,0.0,4,0.75,3,4,0.0502,Other
4,Neo1,Ntn1,83.4,49.09,-26.28,-35.44,2.2899630889175643e-151,4,0.75,3,4,0.0329,Other
5,Itgb1,Tgm2,118.2,334.47,-49.94,-65.47,0.0,4,0.158,6,38,0.0186,Other
6,Sdc1,Lpl,89.79,53.42,-92.0,-440.89,0.0,4,0.111,1,9,0.0184,Other
7,Itgb1,Fbln1,118.2,334.47,-47.12,-inf,0.0,4,0.158,6,38,0.0176,Other
8,Adgre5,Cd55,17.17,-10.88,-40.54,-98.41,0.0,5,1.0,1,1,0.0174,Other
9,Itgb1,Lama2,118.2,334.47,-43.59,-119.32,0.0,4,0.158,6,38,0.0163,Other
10,Neo1,Rgma,83.4,49.09,-12.0,-33.87,1.176836588239294e-32,4,0.75,3,4,0.015,Other
11,Lrp6,Igfbp4,42.56,12.87,-86.74,-inf,0.0,4,0.2,2,10,0.0148,Wnt
12,Bmpr2,Bmp4,44.49,15.12,-38.65,-73.53,0.0,4,0.4,4,10,0.0138,BMP
13,Bmpr1a,Bmp4,41.83,9.56,-38.65,-73.53,0.0,4,0.4,4,10,0.0129,BMP
14,Adora2b,Ntn1,22.31,5.66,-26.28,-35.44,2.2899630889175643e-151,4,1.0,1,1,0.0117,Other
15,Fzd8,Igfbp4,39.14,17.09,-86.74,-inf,0.0,4,0.167,1,6,0.0113,Wnt
16,Nrp2,Pgf,35.1,9.63,-60.4,-111.07,0.0,5,0.2,2,10,0.0106,Sema/VEGF
17,Egfr,Efemp1,36.78,9.12,-62.74,-136.53,0.0,4,0.211,4,19,0.0097,EGF
18,Fzd4,Myoc,21.87,-3.65,-57.29,-153.04,0.0,3,0.333,1,3,0.0063,Other
19,Nrp2,Sema3c,35.1,9.63,-33.99,-54.6,3.3543069247321523e-252,5,0.2,2,10,0.006,Sema/VEGF
20,Fzd1,Myoc,35.67,9.44,-57.29,-153.04,0.0,3,0.167,1,6,0.0051,Wnt
21,Traf2,Gstp1,19.06,-0.81,-69.47,-284.69,0.0,3,0.25,1,4,0.005,Other
22,Unc5c,Ntn1,7.33,1.56,-26.28,-35.44,2.2899630889175643e-151,5,1.0,1,1,0.0048,Other
