ligand,receptor
Stx5,Pkd2
Fyn,Trpc4
Mcoln3,Trpv5
Traf6,Gsk3b
Ltf,Neo1
Atm,Dnttip2
Adam10,D3YVY2
Fpr-s1,Saa3
Alpl,Hist1h2af
Cripto,A0A0N4SUL9
A0A2I3BQ20,Camp
Tbx21,Onecut2
Atf4,Atg5
D3YVX9,A0A0R4J174
H3BJ24,Q6P8P8
D3YZM7,Sqstm1
H3BJ24,Il2
Sqstm1,D3YZM7
Arid3a,A0A075B5Y2
Arid3a,A0A0G2JFS5
D3YZM7,Map1lc3b
D3YZM7,Uvrag
Mmrn2,Clec14a
Pdia5,Tap2
E9Q4F3,Adrb3
Q3TML0,Calr
Tgfb1i1,Smad1
A0A1W2P6N3,Preb
Alpl,H2ac20
E9Q4F3,A0A0R4J100
Alpl,H2ac4
Preb,A0A1W2P6N3
Tgfb1i1,Smad5
Arid3a,A0A0B4J1J7
Alpl,H2ax
Alpl,H2aj
Arid3a,A0A075B5T4
Sema3d,Plxnd1
Calm1,B2RPS7
Cav1,B2RPS7
Drd2,B2RPS7
Mdfi,B2RPS7
B2RPS7,Trpc6
Itpr2,B2RPS7
Marcks,B2RPS7
B2RPS7,Grm1
Grm1,B2RPS7
Stim1,B2RPS7
B2RPS7,Trpc3
Trpc3,B2RPS7
B2RPS7,Trpc4
Trpc4,B2RPS7
B2RPS7,Trpc5
Trpc5,B2RPS7
H2-Aa,Lgmn
B2RPS7,Pkd2
Pkd2,B2RPS7
B2RPS7,Trpv4
Trpv4,B2RPS7
B2RPS7,Trpv6
Calm1,Trpc3
Arid3a,A0A075B5R4
Casr,Trpc3
Epor,Trpc3
Homer1,Trpc3
Itpr1,Trpc3
Itpr3,Trpc3
Asph,Trpc3
Wnk4,Trpc3
Orai1,Trpc3
Prkg1,Trpc3
Rnf24,Trpc3
Src,Trpc3
Trpm4,Trpc3
Pkd2,Trpc3
Nherf1,Trpc4
Rnf24,Trpc4
Cabp1,Trpc5
Ncs1,Trpc5
Sestd1,Trpc5
Trpc5,Trpc6
Calm1,Trpc6
Fyn,Trpc6
Mx2,Trpc6
Nphs1,Trpc6
Prkaca,Trpc6
Prkg1,Trpc6
Nphs2,Trpc6
Rnf24,Trpc6
Snf8,Trpc6
Src,Trpc6
Prkg1,Trpc7
Pkd2,Trpc7
Egfr,Trpv3
Calm1,Trpv4
Fyn,Trpv4
Hck,Trpv4
Itpr3,Trpv4
Lck,Trpv4
Lyn,Trpv4
Os9,Trpv4
Pacsin3,Trpv4
Src,Trpv4
Trpv4,Src
Pkd2,Trpv4
Trpv4,Pkd2
Yes1,Trpv4
Bspry,Trpv5
Calb1,Trpv5
Calm1,Trpv5
Kl,Trpv5
Rab11a,Trpv5
S100a10,Trpv5
Tgm2,Trpv5
Trpv5,Mcoln3
Trpv5,Trpv6
Trpv6,Trpv5
Calm1,Trpv6
Fyn,Trpv6
Kl,Trpv6
A0A0R4J0D4,Trpv6
Nipsnap1,Trpv6
Numb,Trpv6
Rack1,Trpm6
Phb2,Trpm6
Q31621,Lgmn
Ptpn1,Trpv6
Rab11a,Trpv6
Rgs2,Trpv6
S100a10,Trpv6
Src,Trpv6
Nyx,A0A0U1RP37
Calm1,Trpm2
B2CKC6,Trpm2
G5E8B1,Trpm2
Calm1,Trpm4
Bmp1,Bmpr2
Trpm6,Trpm7
Trpm7,Trpm6
Trpm7,Myh9
Rack1,Trpm7
Htr1b,Trpm8
Oprm1,Trpm8
Prkaca,Mcoln1
Mcoln2,Mcoln1
Mcoln1,Mcoln2
Mcoln3,Mcoln1
Mcoln1,Mcoln3
Mcoln2,Mcoln3
Rack1,Pkd2l2
Prkaca,Pkd2
Casp3,Eif3j2
Casp3,Eif3j1
Casp3,A2A864
E0CXC2,Rxra
Hnrnpd,Gadd45a
Pkmyt1,Plk1
Rnf8,Rxra
Mapk14,Mapkapk2
Mapkapk2,Mapk14
Mapkapk2,Hnrnpa0
Tia1,Gadd45a
Lhx4,Pou1f1
Hnrnpa0,Gadd45a
Epor,Jak2
Jak2,Epor
B1AWQ4,Myo15a
Gjb6,Gjb2
Gjb2,Gjb6
Mapk14,Tial1
Numb,Notch1
Tial1,Gadd45a
Zic1,Atoh1
Mapk14,Zfp36
Atoh1,Hes5
Hes5,Atoh1
Notch1,Dll1
Mapkapk2,Zfp36
Zfp36,Tnf
Creb1,Il2
Notch1,Jag2
Jag2,Notch1
Lhx4,Gh1
Dll1,Notch1
Six1,Lfng
Creb1,Il10
Creb1,Il6
Six1,D3Z4G2
Six1,Hmx3
Six1,Dlx5
Lhx4,Fshb
Six1,Otx1
Creb1,Mif
Six1,Dach1
Six1,Dach2
Tnf,Creb1
Creb1,Tnf
A0A0A6YXB5,Myo7a
Myo7a,A0A0A6YXB5
H3BJ24,Csf1r
Creb1,Ptgs2
Gabpa,Txn
Creb1,Aicda
Mapk3,Gabpa
Mapk1,Gabpa
Tub,Mapk1
Tub,Mapk3
Prox1,A0A0R4J292
A0A0R4J292,Cdkn1c
Creb1,Bach2
Keap1,Gabpa
Prox1,Atoh1
Gata3,Fgf10
Igf2bp1,Btrc
Q8BRF1,Dach2
Dach2,Q8BRF1
Nfat5,Akr1b1
Foxi1,Pax8
D3YWD4,Foxi1
O35424,Lgmn
Nfat5,E9PW98
Akt1,E9QNL4
Nfat5,Slc5a3
E9QNL4,Nfkb1
Nfkb1,E9QNL4
Pik3r1,Akt1
Q31094,Lgmn
Akt1,Pik3r1
Cdc73,Cpsf3
Creb1,Cdk6
Sympk,Cstf1
Cdk1,Rrm2
Atm,Mcm5
Atm,Mcm6
Casp3,Acin1
Ppp1ca,Stk3
Cdk1,Cdkn1a
Cdkn1a,Cdk1
Tp53,G3UW86
Tp53,Atf3
Atf3,Tp53
D3YZ08,Atm
Atm,D3YZ08
Mycn,Mcm6
Mdm2,Rrm2b
A0A1L1SSL9,Xpa
Mycn,Mcm5
Mycn,Mcm2
H3BJ24,Cdkn1a
Mycn,Mcm3
E2f1,Cdca4
Cdca4,E2f1
Klf2,A0A0R4J0N8
E9QNX9,Igf1
Igf1,E9QNX9
Ccl12,Mmp14
G3X963,E2f1
Mmp14,Mmp2
Abl1,Tp73
Abl1,Prkdc
Prkdc,Abl1
Mycn,Mcm7
Mycn,Mcm8
Cry2,Bmal1
Ppp1ca,Stk4
Bmal1,Cry2
Cry1,Bmal1
Bmal1,Cry1
G3UYV8,A0A0R4J0U3
G3UYV8,Per1
G3X963,Esr1
Usp28,Clspn
Prkn,Ccne1
Pcna,A0A0R4J1Z5
Prkn,A0A338P6R8
Prkn,A0A338P755
Tgfb1i1,Smad7
Pcna,Polh
Mycn,Tp53
G3X963,Myc
G3X963,Ar
F8VPX1,Mdm2
F8VPX1,A0A087WQP2
Rela,Pten
H3BJ24,Klk1b22
Rbl1,E2f4
E2f4,Rbl1
Rbl2,E2f5
Rbl2,E2f4
Prkn,Ctnnb1
Bmp1,Bmpr1a
E9QK89,Tp53bp1
E0CXC2,H2ac25
E0CXC2,H2ac12
E0CXC2,Hist1h2af
H3BJ24,Klk1b1
E0CXC2,H2ac20
E0CXC2,H2ac4
E0CXC2,H2ax
E0CXC2,H2aj
H3BJ24,Klk1b24
E0CXC2,Hist2h2aa1; Hist2h2aa2
E0CXC2,Q8CGP4
E0CXC2,H2ac21
Rnf8,H2ac25
H3BJ24,Klk1b16
Rnf8,H2ac12
Rnf8,Hist1h2af
Rnf8,H2ac20
Rnf8,H2ac4
H3BJ24,Klk1b21
Rnf8,H2ax
Rnf8,H2aj
Rnf8,Hist2h2aa1; Hist2h2aa2
Rnf8,Q8CGP4
H3BJ24,Klk1b9
Rnf8,H2ac21
E9QK89,E0CXC2
E9QK89,Rnf8
Prkn,Puf60
Prkn,A0A0G2JDC8
H3BJ24,Klk1
Prkn,Jun
Prkn,Hspa1a
Prkn,Hspa1b
A0A286YDU2,Prkn
Prkn,A0A286YDU2
A0A0R4J0I8,App
Prkn,Snca
Bmp1,Bmpr1b
App,Bace1
Bace1,App
A0A0R4J024,D3YZV7
Tp53bp1,Hdac4
Adam17,App
A0A0U1RQ87,Pdpk1
Ppp1ca,Camk2g
Adam10,App
Pten,Prex2
Prex2,Pten
Pink1,Trap1
Park7,Htra2
Pink1,Prkn
Prkn,Pink1
Xrcc1,D3YZV7
Q4VA93,Vcl
Vcl,Q4VA93
E9QLE5,Raf1
App,Aplp1
Raf1,E9QLE5
Pebp1,Raf1
Raf1,Pebp1
Usp28,D3YUA8
Cdk2,Myc
E9Q1A8,Myc
Myc,Jag2
D3YUA8,Myc
Ptpn12,Q3ULQ2
Q3ULQ2,Ptpn12
Ptpn12,Pin1
Pin1,Ptpn12
Casp2,B1AU25
Pdpk1,A0A0U1RQ87
Casp3,Prkdc
Prkdc,Casp3
A0A0U1RQ87,B7FAU9
Casp3,Pak2
Pak2,Casp3
Casp3,Gsn
Ptk2,Ptpn12
Ptpn12,Ptk2
B7FAU9,Sphk1
Smg1,Upf1
F7AD18,Lgmn
Atm,Usp28
A0A2I3BPL3,Map2k4
Map2k4,A0A2I3BPL3
Map2k4,Map3k7
Map3k7,Map2k4
Q9QWV1,Lgmn
A0A2R8VH29,Pik3r1
Pik3r1,A0A2R8VH29
A0A2R8VH29,Pik3r2
Pik3r2,A0A2R8VH29
A0A0R4J0B3,Atg13
Atg13,A0A0R4J0B3
A0A494B9M4,Lgmn
A0A0R4J0B3,Rb1cc1
Rb1cc1,A0A0R4J0B3
Mtor,Atg13
A0A0G2JEC4,Uvrag
A0A1L1SSL9,Topbp1
App,Tspan12
Uvrag,A0A0G2JEC4
Atg13,Rb1cc1
Mtor,Ulk2
Becn1,Pik3r4
Akt1s1,Mtor
A0A2R8VH29,G3UWG2
G3UWG2,A0A2R8VH29
G3UWG2,Hras
Hras,G3UWG2
A0A0R4J029,Atg12
Col4a3,Ddr1
A2ACM0,Mtor
Mtor,A2ACM0
Akt1,Akt1s1
Mlst8,Mtor
Spns1,Bcl2l1
Ppp2cb,Rbl1
Mtor,Mlst8
Uvrag,Pik3r4
Atg13,Ulk2
Ulk2,Atg13
Uvrag,Becn1
Wnt1,A2RTG9
Becn1,Bcl2l1
Bcl2l1,Becn1
Akt1s1,A2ACM0
Capn2,Bcl2l1
Mtor,Akt1s1
Rb1cc1,Ulk2
Ulk2,Rb1cc1
Akt1,S1pr1
Mcl1,Bad
H3BJ24,Klk1b27
A0A0R4J029,Atg5
Atg7,Atg3
Hras,S4R168
S4R168,Hras
A0A0G2JDU2,Mapk14
Ppp2cb,Bcar1
Mapk14,A0A0G2JDU2
Mapkapk5,Mapk14
Mapk14,Mapkapk5
A0A0G2JDU2,Tp53
Mapkapk5,Tp53
Atg5,Atg16l1
Tp53,Mcl1
Bnip3,Bcl2
Bnip3,Bcl2l1
Spns1,Bcl2
A0A0R4J065,Map1lc3b
A0A0G2JEC4,Pik3c3
Atm,Dck
Capn1,Bcl2
Capn2,Bcl2
Capn1,Bcl2l1
Capn2,Bid
Dcc,Dscam
Capn1,Bid
Atm,Chd4
Casp3,Eif4ebp1
Casp3,A3KGU7
Casp3,Eif4g1
Casp3,Bcar1
H3BJ24,Klk1b3
Casp3,F6TW20
Bcl2,Casp3
Casp3,Bcl2
Casp2,Cycs
Casp2,Diablo
Casp6,Numa1
Casp6,Vim
Topbp1,A0A1L1SSL9
E2f2,Cdk1
Sgk1,Kcnq4
Pou4f3,Bdnf
Atoh1,Pou4f3
Pou4f3,A0A0R4J292
Myo15a,Whrn
H3BJ24,Klk1b5
Q60I23,Atoh1
Atoh1,Barhl1
B8JJE0,A0A2I3BQ20
Id3,Atoh1
Id2,Atoh1
Notch1,Pax8
Id1,Atoh1
Kcne1,Kcnq4
Notch1,A2RTG9
H3BJ24,Klk1b8
E2f1,Brca1
H3BJH1,Myd88
Six1,G3X8Q7
Six1,Eya1
Foxi1,Six1
Otub2,Traf6
Col4a4,Ddr1
Pdpk1,Prkcg
Pdk1,Prkcg
Otud5,Traf3
Otub1,Traf3
Jag1,Cdkn1b
Cdk5,Ralb
E2f1,Ezh2
H3BJ24,Klk1b26
B0QZV7,Ccnd1
Ccnd1,B0QZV7
A0A1Y7VML1,Cdk1
Cdk1,A0A1Y7VML1
E2f2,Ccnb1
Wnt1,Jag1
Wnt1,Notch1
Notch1,Wnt1
Notch1,Atoh1
H3BJ24,Klk1b11
Wnt1,Dlx5
Pou4f3,Ntf3
Notch1,Hes5
Notch1,Q60I23
Notch1,Bmp4
Rala,Ralbp1
Myc,Nme1
Wnt1,Pax8
Q63ZW6,Ddr1
Ralb,Ralbp1
Ralgds,Rala
Ralbp1,Cdc42
