rank,receptor,ligand,r_logfc,l_logfc,l_padj,n_db,starvation,mismatch_composite,pathway,h_receptor,h_ligand,conservation,conservation_score,druggability,literature,mismatch_norm,priority_score
1,Fgfr2,Fgf10,4.81,-5.09,0.0017681320321255,5,0.333,0.0817,FGF,FGFR2,FGF10,CONSERVED_relaxed,0.7,1.0,1.0,0.0817,0.63451
2,Acvr1,Bmp6,21.96,-20.73,3.4077937903842886e-20,4,0.444,0.3556,BMP/Activin,ACVR1,BMP6,CONSERVED_relaxed,0.7,0.8,0.5,0.3556,0.5766800000000001
3,Tyro3,Gas6,8.31,-14.0,9.195792804308949e-45,5,0.5,0.4157,Other,TYRO3,GAS6,CONSERVED_relaxed,0.7,0.7,0.5,0.4157,0.5747099999999999
4,Fgfr2,Fgf7,4.81,-4.87,1.4766889235174525e-21,5,0.333,0.0781,FGF,FGFR2,FGF7,CONSERVED_relaxed,0.7,1.0,0.7,0.0781,0.57343
5,Bmpr2,Bmp6,15.12,-20.73,3.4077937903842886e-20,4,0.4,0.32,BMP,BMPR2,BMP6,CONSERVED_relaxed,0.7,0.8,0.5,0.32,0.5660000000000001
6,Unc5b,Ntn1,59.5,-35.44,2.2899630889175643e-151,5,1.0,1.0,Other,UNC5B,NTN1,mouse_only,0.2,0.6,0.4,1.0,0.56
7,Bmpr2,Bmp2,15.12,-12.8,1.2892853069774322e-31,4,0.4,0.32,BMP,BMPR2,BMP2,mouse_only,0.2,1.0,0.8,0.32,0.516
8,Bmpr1a,Bmp2,9.56,-12.8,1.2892853069774322e-31,4,0.4,0.306,BMP,BMPR1A,BMP2,mouse_only,0.2,1.0,0.7,0.306,0.4918
9,Insr,Nampt,0.6,-13.27,1.339926174696022e-27,3,1.0,0.0357,Other,INSR,NAMPT,CONSERVED_strict,1.0,0.6,0.3,0.0357,0.49071
10,Lrp6,Rspo1,12.87,-24.78,1.0423220477571363e-55,4,0.25,0.2,Wnt,LRP6,RSPO1,CONSERVED_relaxed,0.7,0.6,0.5,0.2,0.49
11,Mertk,Gas6,0.87,-14.0,9.195792804308949e-45,5,0.5,0.0434,Other,MERTK,GAS6,CONSERVED_relaxed,0.7,0.7,0.6,0.0434,0.48302
12,Neo1,Ntn1,49.09,-35.44,2.2899630889175643e-151,4,1.0,0.8,Other,NEO1,NTN1,mouse_only,0.2,0.6,0.3,0.8,0.48
13,Bmpr2,Bmp4,15.12,-73.53,0.0,4,0.4,0.32,BMP,BMPR2,BMP4,mouse_only,0.2,0.9,0.7,0.32,0.476
14,Bmpr1a,Bmp4,9.56,-73.53,0.0,4,0.4,0.306,BMP,BMPR1A,BMP4,mouse_only,0.2,0.9,0.7,0.306,0.4718
15,Acvr1,Bmp2,21.96,-12.8,1.2892853069774322e-31,3,0.444,0.2667,BMP/Activin,ACVR1,BMP2,mouse_only,0.2,1.0,0.6,0.2667,0.46001000000000003
16,Il1rl2,Il18,3.2,-9.99,8.74212775120619e-14,3,1.0,0.1917,Other,IL1RL2,IL18,CONSERVED_relaxed,0.7,0.8,0.1,0.1917,0.44751
17,Il2rg,Il2,0.68,-3.44,0.028466548391807,4,0.6,0.0112,Other,IL2RG,IL2,CONSERVED_relaxed,0.7,1.0,0.1,0.0112,0.43336
18,Tgfbr1,Tgfb1,8.33,-6.73,1.906931661343303e-127,4,0.2,0.0897,TGF-β,TGFBR1,TGFB1,mouse_only,0.2,0.9,0.8,0.0897,0.42691000000000007
