rank,receptor,ligand,r_logfc,l_logfc,n_db,starvation,mismatch_composite,pathway,h_receptor,h_ligand,conservation,conservation_score,drug_receptor,drug_ligand,druggability_auto,lit_receptor,lit_ligand,literature_auto,mismatch_norm,priority_score
1,Insr,Nampt,0.6,-13.27,3,1.0,0.0357,Other,INSR,NAMPT,CONSERVED_strict,1.0,0.979,0.559,0.685,0.617,0.685,0.651,0.0357,0.57791
2,Tyro3,Gas6,8.31,-14.0,5,0.5,0.4157,Other,TYRO3,GAS6,CONSERVED_relaxed,0.7,0.661,0.523,0.5644,0.423,0.569,0.496,0.4157,0.5467900000000001
3,Itgb1,Cd14,334.47,-10.23,4,0.2,0.16,Other,ITGB1,CD14,CONSERVED_relaxed,0.7,0.627,0.62,0.6221,0.583,1.0,0.7915,0.16,0.54072
4,Il1rl2,Il18,3.2,-9.99,3,1.0,0.1917,Other,IL1RL2,IL18,CONSERVED_relaxed,0.7,0.523,0.666,0.6231,0.351,1.0,0.6755,0.1917,0.52723
5,Il2rg,Il2,0.68,-3.44,4,0.6,0.0112,Other,IL2RG,IL2,CONSERVED_relaxed,0.7,0.813,0.77,0.7828999999999999,0.524,1.0,0.762,0.0112,0.52234
6,Insr,Hras,0.6,-0.89,4,1.0,0.0043,Other,INSR,HRAS,CONSERVED_relaxed,0.7,0.979,0.793,0.8488,0.617,0.757,0.687,0.0043,0.5184500000000001
7,Il2rg,Icam1,0.68,-27.13,3,0.6,0.0243,Other,IL2RG,ICAM1,CONSERVED_relaxed,0.7,0.813,0.573,0.6449999999999999,0.524,1.0,0.762,0.0243,0.49868999999999997
8,Bmpr2,Bmp6,15.12,-20.73,4,0.4,0.32,BMP,BMPR2,BMP6,CONSERVED_relaxed,0.7,0.773,0.0,0.2319,0.841,0.56,0.7005,0.32,0.49248000000000003
9,Il2rg,Il15,0.68,-16.22,4,0.6,0.0324,Other,IL2RG,IL15,CONSERVED_relaxed,0.7,0.813,0.64,0.6919,0.524,0.748,0.636,0.0324,0.48529999999999995
10,Notch1,Psen1,4.4,-10.1,4,0.083,0.0293,Notch,NOTCH1,PSEN1,CONSERVED_relaxed,0.7,0.595,0.634,0.6223,0.904,0.501,0.7025,0.0293,0.48375
