rank,receptor,ligand,r_logfc,l_logfc,n_db,starvation,mismatch_composite,pathway,h_receptor,h_ligand,conservation,conservation_score,lig_deliver,lig_dgidb,rec_dgidb,lig_drug_combined,druggability_corrected,lit_receptor,lit_ligand,literature_auto,mismatch_norm,priority_score
1,Insr,Nampt,0.6,-13.27,3,1.0,0.0357,Other,INSR,NAMPT,CONSERVED_strict,1.0,1.0,0.559,0.979,0.8236,0.8702199999999999,0.617,0.685,0.651,0.0357,0.614954
2,Tyro3,Gas6,8.31,-14.0,5,0.5,0.4157,Other,TYRO3,GAS6,CONSERVED_relaxed,0.7,1.0,0.523,0.661,0.8092,0.76474,0.423,0.569,0.496,0.4157,0.5868580000000001
3,Bmpr2,Bmp6,15.12,-20.73,4,0.4,0.32,BMP,BMPR2,BMP6,CONSERVED_relaxed,0.7,1.0,0.0,0.773,0.6,0.6518999999999999,0.841,0.56,0.7005,0.32,0.57648
4,Itgb1,Cd14,334.47,-10.23,4,0.2,0.16,Other,ITGB1,CD14,CONSERVED_relaxed,0.7,1.0,0.62,0.627,0.848,0.7816999999999998,0.583,1.0,0.7915,0.16,0.57264
5,Acvr1,Bmp6,21.96,-20.73,4,0.444,0.3556,BMP/Activin,ACVR1,BMP6,CONSERVED_relaxed,0.7,1.0,0.0,0.882,0.6,0.6846,0.524,0.56,0.542,0.3556,0.562
6,Il1rl2,Il18,3.2,-9.99,3,1.0,0.1917,Other,IL1RL2,IL18,CONSERVED_relaxed,0.7,1.0,0.666,0.523,0.8664000000000001,0.7633800000000001,0.351,1.0,0.6755,0.1917,0.555286
7,Unc5b,Ntn1,59.5,-35.44,5,1.0,1.0,Other,UNC5B,NTN1,mouse_only,0.2,1.0,0.0,0.1,0.6,0.44999999999999996,0.403,0.54,0.47150000000000003,1.0,0.5443
8,Il2rg,Il2,0.68,-3.44,4,0.6,0.0112,Other,IL2RG,IL2,CONSERVED_relaxed,0.7,1.0,0.77,0.813,0.908,0.8795,0.524,1.0,0.762,0.0112,0.54166
9,Itga5,Ccn1,17.47,-156.37,4,0.308,0.2462,Other,ITGA5,CCN1,CONSERVED_relaxed,0.7,1.0,0.323,0.595,0.7292,0.6889399999999999,0.46,0.596,0.528,0.2462,0.527248
10,Itgb3,Ccn1,4.57,-156.37,4,0.455,0.1663,Other,ITGB3,CCN1,CONSERVED_relaxed,0.7,1.0,0.323,0.646,0.7292,0.7042399999999999,0.646,0.596,0.621,0.1663,0.524938
11,Itgav,Ccn1,50.48,-156.37,4,0.294,0.2353,Other,ITGAV,CCN1,CONSERVED_relaxed,0.7,1.0,0.323,0.634,0.7292,0.7006399999999999,0.423,0.596,0.5095,0.2353,0.522618
12,Il2rg,Il15,0.68,-16.22,4,0.6,0.0324,Other,IL2RG,IL15,CONSERVED_relaxed,0.7,1.0,0.64,0.813,0.856,0.8431,0.524,0.748,0.636,0.0324,0.51554
13,Fgfr2,Fgf10,4.81,-5.09,5,0.333,0.0817,FGF,FGFR2,FGF10,CONSERVED_relaxed,0.7,1.0,0.0,0.997,0.6,0.7191,0.675,0.627,0.651,0.0817,0.50853
14,Fgfr2,Fgf7,4.81,-4.87,5,0.333,0.0781,FGF,FGFR2,FGF7,CONSERVED_relaxed,0.7,1.0,0.297,0.997,0.7188,0.80226,0.675,0.465,0.5700000000000001,0.0781,0.5078820000000001
15,Insr,Hras,0.6,-0.89,4,1.0,0.0043,Other,INSR,HRAS,CONSERVED_relaxed,0.7,0.5,0.793,0.979,0.6172,0.7257399999999999,0.617,0.757,0.687,0.0043,0.49383800000000005
16,Itgb1,Lamc2,334.47,-11.44,4,0.2,0.16,Other,ITGB1,LAMC2,CONSERVED_relaxed,0.7,1.0,0.461,0.627,0.7844,0.73718,0.583,0.3,0.4415,0.16,0.493736
17,Il2rg,Icam1,0.68,-27.13,3,0.6,0.0243,Other,IL2RG,ICAM1,CONSERVED_relaxed,0.7,0.5,0.573,0.813,0.5292,0.61434,0.524,1.0,0.762,0.0243,0.49255799999999994
18,Bmpr2,Bmp2,15.12,-12.8,4,0.4,0.32,BMP,BMPR2,BMP2,mouse_only,0.2,1.0,0.543,0.773,0.8172,0.80394,0.841,0.867,0.854,0.32,0.487588
19,Ogfr,Penk,16.17,-129.5,4,1.0,0.8,Other,OGFR,PENK,mouse_only,0.2,1.0,0.0,0.261,0.6,0.49829999999999997,0.245,0.589,0.417,0.8,0.48306000000000004
20,Fgfr2,Fgf16,4.81,-4.56,3,0.333,0.0439,FGF,FGFR2,FGF16,CONSERVED_relaxed,0.7,1.0,0.0,0.997,0.6,0.7191,0.675,0.474,0.5745,0.0439,0.48189
21,Mertk,Gas6,0.87,-14.0,5,0.5,0.0434,Other,MERTK,GAS6,CONSERVED_relaxed,0.7,1.0,0.523,0.359,0.8092,0.67414,0.599,0.569,0.584,0.0434,0.474648
22,Notch1,Psen1,4.4,-10.1,4,0.083,0.0293,Notch,NOTCH1,PSEN1,CONSERVED_relaxed,0.7,0.5,0.634,0.595,0.5536,0.56602,0.904,0.501,0.7025,0.0293,0.472494
23,Neo1,Ntn1,49.09,-35.44,4,1.0,0.8,Other,NEO1,NTN1,mouse_only,0.2,1.0,0.0,0.0,0.6,0.42,0.284,0.54,0.41200000000000003,0.8,0.46640000000000004
24,Grin2d,Il16,1.82,-6.91,4,1.0,0.1005,Other,GRIN2D,IL16,CONSERVED_relaxed,0.7,1.0,0.0,0.895,0.6,0.6885,0.245,0.599,0.422,0.1005,0.46225000000000005
25,Notch3,Psen1,5.47,-10.1,4,0.125,0.0547,Notch,NOTCH3,PSEN1,CONSERVED_relaxed,0.7,0.5,0.634,0.559,0.5536,0.55522,0.701,0.501,0.601,0.0547,0.457654
26,Bmpr2,Bmp4,15.12,-73.53,4,0.4,0.32,BMP,BMPR2,BMP4,mouse_only,0.2,1.0,0.0,0.773,0.6,0.6518999999999999,0.841,0.86,0.8505,0.32,0.45648
27,Bmpr1a,Bmp2,9.56,-12.8,4,0.4,0.306,BMP,BMPR1A,BMP2,mouse_only,0.2,1.0,0.543,0.697,0.8172,0.78114,0.615,0.867,0.741,0.306,0.45622799999999997
28,Grin2d,Hras,1.82,-0.89,3,1.0,0.0097,Other,GRIN2D,HRAS,CONSERVED_relaxed,0.7,0.5,0.793,0.895,0.6172,0.7005399999999999,0.245,0.757,0.501,0.0097,0.45321799999999995
29,Egfr,Anxa1,9.12,-68.39,4,0.211,0.1536,EGF,EGFR,ANXA1,mouse_only,0.2,1.0,0.938,0.8,0.9752,0.9226399999999999,1.0,0.596,0.798,0.1536,0.450208
30,Acvr1,Bmp2,21.96,-12.8,3,0.444,0.2667,BMP/Activin,ACVR1,BMP2,mouse_only,0.2,1.0,0.543,0.882,0.8172,0.83664,0.524,0.867,0.6955,0.2667,0.446438
31,Ephb3,Efnb2,11.25,-1.2,5,0.5,0.0598,Other,EPHB3,EFNB2,CONSERVED_relaxed,0.7,0.5,0.757,0.762,0.6028,0.65056,0.361,0.486,0.4235,0.0598,0.442752
32,Lrp6,Rspo1,12.87,-24.78,4,0.25,0.2,Wnt,LRP6,RSPO1,CONSERVED_relaxed,0.7,1.0,0.0,0.0,0.6,0.42,0.614,0.266,0.44,0.2,0.44200000000000006
33,Adora2b,Ntn1,5.66,-35.44,4,1.0,0.4531,Other,ADORA2B,NTN1,mouse_only,0.2,1.0,0.0,0.861,0.6,0.6782999999999999,0.504,0.54,0.522,0.4531,0.43598999999999993
34,Fzd1,Myoc,9.44,-153.04,3,0.167,0.0944,Wnt,FZD1,MYOC,CONSERVED_relaxed,0.7,1.0,0.0,0.543,0.6,0.5829,0.351,0.451,0.401,0.0944,0.4351
35,Ephb2,Efnb2,10.12,-1.2,5,0.25,0.0299,Other,EPHB2,EFNB2,CONSERVED_relaxed,0.7,0.5,0.757,0.787,0.6028,0.65806,0.351,0.486,0.4185,0.0299,0.434282
36,Ephb6,Afdn,6.09,-6.35,4,0.4,0.1238,Other,EPHB6,AFDN,CONSERVED_strict,1.0,0.3,0.0,0.461,0.18,0.2643,0.19,0.245,0.2175,0.1238,0.4335
37,Notch4,Psen1,1.47,-10.1,4,0.167,0.0196,Notch,NOTCH4,PSEN1,CONSERVED_relaxed,0.7,0.5,0.634,0.573,0.5536,0.5594199999999999,0.524,0.501,0.5125,0.0196,0.4302639999999999
38,Sdc1,Lpl,53.42,-440.89,4,0.25,0.2,Other,SDC1,LPL,mouse_only,0.2,1.0,0.699,0.497,0.8795999999999999,0.7648199999999999,0.623,0.948,0.7855,0.2,0.430064
39,Fas,Tnfsf13,26.55,-3.27,4,1.0,0.2619,Other,FAS,TNFSF13,mouse_only,0.2,1.0,0.297,0.962,0.7188,0.7917599999999999,1.0,0.315,0.6575,0.2619,0.428422
40,Cd44,Fgf2,65.3,-3.87,4,0.2,0.062,Other,CD44,FGF2,mouse_only,0.2,1.0,0.72,0.666,0.8879999999999999,0.8213999999999999,0.877,0.959,0.9179999999999999,0.062,0.42647999999999997
41,Fgfr2,Fgf2,4.81,-3.87,5,0.333,0.0622,FGF,FGFR2,FGF2,mouse_only,0.2,1.0,0.72,0.997,0.8879999999999999,0.9206999999999999,0.675,0.959,0.817,0.0622,0.42619999999999997
42,Fgfr2,Fgf1,4.81,-7.3,5,0.333,0.1171,FGF,FGFR2,FGF1,mouse_only,0.2,1.0,0.804,0.997,0.9216,0.9442199999999998,0.675,0.744,0.7095,0.1171,0.425874
43,Bmpr1a,Bmp4,9.56,-73.53,4,0.4,0.306,BMP,BMPR1A,BMP4,mouse_only,0.2,1.0,0.0,0.697,0.6,0.6291,0.615,0.86,0.7375,0.306,0.42512
44,Lgr6,Rspo1,1.93,-24.78,5,0.5,0.0967,Other,LGR6,RSPO1,CONSERVED_relaxed,0.7,1.0,0.0,0.595,0.6,0.5985,0.387,0.266,0.3265,0.0967,0.42401000000000005
45,Fgfrl1,Fgf2,43.27,-3.87,4,1.0,0.31,FGF,FGFRL1,FGF2,mouse_only,0.2,1.0,0.72,0.261,0.8879999999999999,0.6999,0.34,0.959,0.6495,0.31,0.42288000000000003
46,Itgb5,Ccn1,150.65,-156.37,4,0.6,0.48,Other,ITGB5,CCN1,mouse_only,0.2,1.0,0.323,0.343,0.7292,0.6133399999999999,0.315,0.596,0.4555,0.48,0.417768
47,Ephb3,Afdn,11.25,-6.35,4,0.5,0.254,Other,EPHB3,AFDN,CONSERVED_relaxed,0.7,0.3,0.0,0.762,0.18,0.3546,0.361,0.245,0.303,0.254,0.41772
48,Cd44,Fgf1,65.3,-7.3,3,0.2,0.0876,Other,CD44,FGF1,mouse_only,0.2,1.0,0.804,0.666,0.9216,0.8449199999999999,0.877,0.744,0.8105,0.0876,0.417364
49,Egfr,Icam1,9.12,-27.13,3,0.211,0.1152,EGF,EGFR,ICAM1,mouse_only,0.2,0.5,0.573,0.8,0.5292,0.61044,1.0,1.0,1.0,0.1152,0.416648
50,Epha3,Efnb2,5.34,-1.2,4,0.429,0.0219,Other,EPHA3,EFNB2,CONSERVED_relaxed,0.7,0.5,0.757,0.613,0.6028,0.60586,0.3,0.486,0.393,0.0219,0.416342
51,Neo1,Rgma,49.09,-33.87,4,1.0,0.8,Other,NEO1,RGMA,mouse_only,0.2,0.5,0.297,0.0,0.4188,0.29316,0.284,0.284,0.284,0.8,0.415432
52,Itgb8,Tgfb1,12.0,-6.73,4,0.5,0.2692,Other,ITGB8,TGFB1,mouse_only,0.2,1.0,0.763,0.261,0.9052,0.71194,0.34,0.927,0.6335000000000001,0.2692,0.409848
53,Itgav,Tgfb1,50.48,-6.73,4,0.294,0.1584,Other,ITGAV,TGFB1,mouse_only,0.2,1.0,0.763,0.634,0.9052,0.82384,0.423,0.927,0.675,0.1584,0.40728800000000004
54,Tgfbr1,Tgfb1,8.33,-6.73,4,0.2,0.0897,TGF-β,TGFBR1,TGFB1,mouse_only,0.2,1.0,0.763,0.384,0.9052,0.74884,0.779,0.927,0.853,0.0897,0.40727800000000003
55,Bmpr2,Bmp7,15.12,-3.08,4,0.4,0.0985,BMP,BMPR2,BMP7,mouse_only,0.2,1.0,0.613,0.773,0.8452,0.8235399999999999,0.841,0.657,0.749,0.0985,0.40405800000000003
56,Epha7,Efna2,31.96,-1.9,5,0.5,0.0949,Other,EPHA7,EFNA2,CONSERVED_relaxed,0.7,0.5,0.702,0.678,0.5808,0.60996,0.22,0.19,0.20500000000000002,0.0949,0.401462
57,Epha7,Afdn,31.96,-6.35,4,0.5,0.254,Other,EPHA7,AFDN,CONSERVED_relaxed,0.7,0.3,0.0,0.678,0.18,0.3294,0.22,0.245,0.23249999999999998,0.254,0.39858
58,Ephb6,Efnb2,6.09,-1.2,5,0.4,0.0291,Other,EPHB6,EFNB2,CONSERVED_relaxed,0.7,0.5,0.757,0.461,0.6028,0.56026,0.19,0.486,0.33799999999999997,0.0291,0.39838199999999996
59,Nrp2,Pgf,9.63,-111.07,5,0.2,0.1925,Sema/VEGF,NRP2,PGF,mouse_only,0.2,1.0,0.523,0.461,0.8092,0.7047399999999999,0.517,0.868,0.6925,0.1925,0.397198
60,Sdc1,Fgf2,53.42,-3.87,4,0.25,0.0775,Other,SDC1,FGF2,mouse_only,0.2,1.0,0.72,0.497,0.8879999999999999,0.7706999999999999,0.623,0.959,0.7909999999999999,0.0775,0.39559
61,Bmpr1a,Bmp6,9.56,-20.73,4,0.4,0.306,BMP,BMPR1A,BMP6,mouse_only,0.2,1.0,0.0,0.697,0.6,0.6291,0.615,0.56,0.5875,0.306,0.39511999999999997
62,Neo1,Rgmb,49.09,-66.8,4,1.0,0.8,Other,NEO1,RGMB,mouse_only,0.2,0.5,0.1,0.0,0.33999999999999997,0.23799999999999996,0.284,0.15,0.21699999999999997,0.8,0.39099999999999996
