rank,receptor,ligand,r_score,r_logfc,l_score,l_logfc,l_padj,n_db,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway,h_receptor,h_ligand,conservation,conservation_score,lig_deliver,lig_dgidb,rec_dgidb,druggability,lit_receptor,lit_ligand,literature,mismatch_norm,priority_score
1,Unc5b,Ntn1,88.74,59.5,-26.28,-35.44,2.2899630889175643e-151,5,1.0,1,1,0.0583,Other,UNC5B,NTN1,mouse_only,0.2,1.0,0.0,0.1,0.44999999999999996,0.403,0.54,0.47150000000000003,1.0,0.5443
2,Ogfr,Penk,48.03,16.17,-60.14,-129.5,0.0,4,1.0,1,1,0.0578,Other,OGFR,PENK,mouse_only,0.2,1.0,0.0,0.261,0.49829999999999997,0.245,0.589,0.417,0.9914236706689536,0.5404871012006861
3,Il2rg,Il2,7.88,0.68,-2.44,-3.44,0.028466548391807,4,0.6,3,5,0.0002,Other,IL2RG,IL2,CONSERVED_relaxed,0.7,1.0,0.77,0.813,0.8795,0.524,1.0,0.762,0.0034305317324185253,0.5393291595197256
4,Itgb1,Cd14,118.2,334.47,-6.61,-10.23,9.33005481645319e-11,4,0.158,6,38,0.0025,Other,ITGB1,CD14,CONSERVED_relaxed,0.7,1.0,0.62,0.627,0.7816999999999998,0.583,1.0,0.7915,0.042881646655231566,0.5375044939965694
5,Il2rg,Il15,7.88,0.68,-7.7,-16.22,3.520104297136089e-14,4,0.6,3,5,0.0007,Other,IL2RG,IL15,CONSERVED_relaxed,0.7,1.0,0.64,0.813,0.8431,0.524,0.748,0.636,0.012006861063464838,0.5094220583190394
6,Il1rl2,Il18,18.85,3.2,-7.58,-9.99,8.74212775120619e-14,3,1.0,1,1,0.0021,Other,IL1RL2,IL18,CONSERVED_relaxed,0.7,1.0,0.666,0.523,0.7633800000000001,0.351,1.0,0.6755,0.03602058319039451,0.5085821749571184
7,Bmpr2,Bmp6,44.49,15.12,-9.31,-20.73,3.4077937903842886e-20,4,0.4,4,10,0.0033,BMP,BMPR2,BMP6,CONSERVED_relaxed,0.7,1.0,0.0,0.773,0.6518999999999999,0.841,0.56,0.7005,0.05660377358490566,0.4974611320754717
8,Il2rg,Icam1,7.88,0.68,-9.48,-27.13,7.270841286462939e-21,3,0.6,3,5,0.0007,Other,IL2RG,ICAM1,CONSERVED_relaxed,0.7,0.5,0.573,0.813,0.61434,0.524,1.0,0.762,0.012006861063464838,0.4888700583190394
9,Fgfr2,Fgf10,12.09,4.81,-3.33,-5.09,0.0017681320321255,5,0.2,3,15,0.0002,FGF,FGFR2,FGF10,CONSERVED_relaxed,0.7,1.0,0.0,0.997,0.7191,0.675,0.627,0.651,0.0034305317324185253,0.4850491595197256
10,Acvr1,Bmp6,54.75,21.96,-9.31,-20.73,3.4077937903842886e-20,4,0.444,4,9,0.0045,BMP/Activin,ACVR1,BMP6,CONSERVED_relaxed,0.7,1.0,0.0,0.882,0.6846,0.524,0.56,0.542,0.07718696397941681,0.47847608919382506
11,Fgfr2,Fgf16,12.09,4.81,-4.05,-4.56,0.0001095520986479,3,0.2,3,15,0.0001,FGF,FGFR2,FGF16,CONSERVED_relaxed,0.7,1.0,0.0,0.997,0.7191,0.675,0.474,0.5745,0.0017152658662092626,0.46923457975986277
12,Sdc1,Lpl,89.79,53.42,-92.0,-440.89,0.0,4,0.111,1,9,0.0184,Other,SDC1,LPL,mouse_only,0.2,1.0,0.699,0.497,0.7648199999999999,0.623,0.948,0.7855,0.3156089193825043,0.46474667581475126
13,Itgb1,Lamc2,118.2,334.47,-8.29,-11.44,2.9664651117450787e-16,4,0.158,6,38,0.0031,Other,ITGB1,LAMC2,CONSERVED_relaxed,0.7,1.0,0.461,0.627,0.73718,0.583,0.3,0.4415,0.05317324185248713,0.46168797255574606
14,Grin2d,Il16,6.24,1.82,-6.76,-6.91,3.2786146366201797e-11,4,0.5,1,2,0.0004,Other,GRIN2D,IL16,CONSERVED_relaxed,0.7,1.0,0.0,0.895,0.6885,0.245,0.599,0.422,0.0068610634648370505,0.4341583190394511
15,Fzd1,Myoc,35.67,9.44,-57.29,-153.04,0.0,3,0.167,1,6,0.0051,Wnt,FZD1,MYOC,CONSERVED_relaxed,0.7,1.0,0.0,0.543,0.5829,0.351,0.451,0.401,0.0874785591766724,0.4330235677530017
