gene,uniprot_locations,deliver_category,deliver_score
ICAM1,Cell membrane,membrane,0.5
PVR,Cell membrane | Cell membrane | Secreted | Secreted,secreted,1.0
IL18,"Cytoplasm, cytosol | Secreted",secreted,1.0
IL2,Secreted,secreted,1.0
IL4,Secreted,secreted,1.0
FAS,Cell membrane | Membrane raft | Secreted | Secreted | Secreted | Secreted | Secreted,secreted,1.0
MARCO,Cell membrane,membrane,0.5
EGFR,Cell membrane | Endoplasmic reticulum membrane | Golgi apparatus membrane | Nucleus membrane | Endosome | Endosome membrane | Nucleus | Secreted,secreted,1.0
NODAL,Secreted,secreted,1.0
CD14,Cell membrane | Secreted | Membrane raft | Golgi apparatus,secreted,1.0
FGF2,Secreted | Nucleus,secreted,1.0
LPL,"Cell membrane | Secreted | Secreted, extracellular space, extracellular matrix",secreted,1.0
TGFB1,"Secreted, extracellular space, extracellular matrix | Secreted",secreted,1.0
ERBB2,"Cell membrane | Cell projection, ruffle membrane | Cell membrane | Early endosome | Cytoplasm, perinuclear region | Nucleus | Cytoplasm | Nucleus | Cytoplasm | Nucleus",membrane,0.5
NPY,"Secreted | Cytoplasmic vesicle, secretory vesicle, neuronal dense core vesicle",secreted,1.0
NOTCH1,Cell membrane | Late endosome membrane | Nucleus,membrane,0.5
CD44,"Cell membrane | Cell projection, microvillus | Secreted",secreted,1.0
PGF,Secreted,secreted,1.0
BMP2,Secreted,secreted,1.0
BMP4,"Secreted, extracellular space, extracellular matrix",secreted,1.0
FAP,"Cell surface | Cell membrane | Cell projection, lamellipodium membrane | Cell projection, invadopodium membrane | Cell projection, ruffle membrane | Membrane | Secreted | Cytoplasm",secreted,1.0
BMPR2,Cell membrane,membrane,0.5
PF4,Secreted,secreted,1.0
TRH,Secreted,secreted,1.0
TGFBR1,"Cell membrane | Cell junction, tight junction | Cell surface | Membrane raft",membrane,0.5
HRAS,"Cell membrane | Golgi apparatus | Golgi apparatus membrane | Nucleus | Cytoplasm | Cytoplasm, perinuclear region",membrane,0.5
IGF2,Secreted,secreted,1.0
IL15,Secreted | Cytoplasm | Nucleus,secreted,1.0
FGF1,"Secreted | Cytoplasm | Cytoplasm, cell cortex | Cytoplasm, cytosol | Nucleus",secreted,1.0
AMH,Secreted,secreted,1.0
OSM,Secreted,secreted,1.0
NOTCH3,Cell membrane | Nucleus,membrane,0.5
MMP12,"Secreted, extracellular space, extracellular matrix",secreted,1.0
IL1RN,Secreted | Cytoplasm | Cytoplasm | Cytoplasm,secreted,1.0
NAMPT,Nucleus | Cytoplasm | Secreted,secreted,1.0
