names,scores,logfoldchanges,pvals,pvals_adj,rank
Nedd4,113.3903,391.01242,0.0,0.0,1
Palld,190.102,388.8859,0.0,0.0,2
Itgb1,118.2034,334.47037,0.0,0.0,3
Pdgfrl,129.96378,273.78363,0.0,0.0,4
Arf4,82.53078,202.61859,0.0,0.0,5
Lman1,105.91268,196.28506,0.0,0.0,6
Srpx2,100.84336,189.96992,0.0,0.0,7
Mif,60.571102,184.91226,0.0,0.0,8
App,59.184696,153.16711,0.0,0.0,9
Flna,96.5563,151.66107,0.0,0.0,10
Itgb5,65.680855,150.64708,0.0,0.0,11
Foxp1,129.07831,149.96799,0.0,0.0,12
Tgfb3,116.506935,147.26544,0.0,0.0,13
Arpc2,53.098095,147.19763,0.0,0.0,14
Hsp90aa1,66.73004,130.84346,0.0,0.0,15
Cxcl12,55.817192,129.7204,0.0,0.0,16
Picalm,108.64663,126.29026,0.0,0.0,17
Surf4,98.32095,126.16576,0.0,0.0,18
Wls,97.669,122.25691,0.0,0.0,19
Myh9,114.40863,117.99673,0.0,0.0,20
Enpp1,120.97775,117.65338,0.0,0.0,21
Serpine1,82.9926,117.583015,0.0,0.0,22
Vegfd,75.03505,116.532486,0.0,0.0,23
Hif1a,113.971344,116.51876,0.0,0.0,24
Crlf1,80.25702,107.225,0.0,0.0,25
Eif3a,67.85636,88.29656,0.0,0.0,26
Cct2,69.98484,82.83792,0.0,0.0,27
Prdx5,54.488148,81.05558,0.0,0.0,28
Msn,55.847874,79.273224,0.0,0.0,29
Ctsh,81.2662,78.53279,0.0,0.0,30
Myh10,91.172905,78.23297,0.0,0.0,31
Siva1,84.531876,74.61065,0.0,0.0,32
Igf1,42.78499,74.24561,0.0,0.0,33
Rasl11b,87.948654,72.43661,0.0,0.0,34
Lgals3bp,62.195187,70.14335,0.0,0.0,35
Lrrc17,81.620865,69.948975,0.0,0.0,36
Ppp2ca,63.78946,69.423454,0.0,0.0,37
Ryk,74.842064,66.478035,0.0,0.0,38
Igf2r,80.864716,65.69808,0.0,0.0,39
Cd44,45.04263,65.296295,0.0,0.0,40
Ctnnb1,61.46868,65.086365,0.0,0.0,41
Mrc2,70.82461,63.99797,0.0,0.0,42
Gnai2,42.717785,62.15386,0.0,0.0,43
Fzd2,90.13867,60.949444,0.0,0.0,44
Tcp1,57.222935,60.38369,0.0,0.0,45
Unc5b,88.73764,59.50337,0.0,0.0,46
Cct8,49.451183,58.55742,0.0,0.0,47
Ccl9,44.482567,57.46384,0.0,0.0,48
Sec22b,62.22566,56.436657,0.0,0.0,49
Sdc1,89.787895,53.422234,0.0,0.0,50
Wipi1,74.228455,53.274708,0.0,0.0,51
Itgav,71.959656,50.475914,0.0,0.0,52
Slc39a1,53.123783,49.77657,0.0,0.0,53
Cxcl5,29.435669,49.126923,1.920782370233724e-190,1.4721220106194292e-189,54
Neo1,83.39705,49.092777,0.0,0.0,55
Ccn3,42.080807,48.037544,0.0,0.0,56
Nucb2,64.885704,46.7744,0.0,0.0,57
Plscr2,68.07077,45.02877,0.0,0.0,58
Inhba,57.81656,44.510197,0.0,0.0,59
Taf10,57.813087,44.482754,0.0,0.0,60
Nrg1,60.880905,44.12023,0.0,0.0,61
Grb10,62.290154,43.977543,0.0,0.0,62
Fgfrl1,71.37334,43.265602,0.0,0.0,63
Kctd12,69.0579,42.83722,0.0,0.0,64
Actn4,59.366123,42.774036,0.0,0.0,65
Panx1,73.13808,40.972195,0.0,0.0,66
Cnih1,54.01563,40.348495,0.0,0.0,67
Pdgfa,70.80116,39.58407,0.0,0.0,68
Slit2,67.88377,39.219627,0.0,0.0,69
Bdnf,52.777992,39.06746,0.0,0.0,70
Sipa1l1,67.63488,38.046867,0.0,0.0,71
Smad7,64.90556,37.902325,0.0,0.0,72
Nr2f6,64.6768,37.70736,0.0,0.0,73
Spag9,53.991245,37.459034,0.0,0.0,74
Foxp2,63.300575,36.40691,0.0,0.0,75
Ccdc88a,60.198128,36.270405,0.0,0.0,76
Tgfb1i1,51.790855,35.88629,0.0,0.0,77
Il1r1,56.045494,35.637856,0.0,0.0,78
Kpnb1,62.23987,34.8003,0.0,0.0,79
