names,scores,logfoldchanges,pvals,pvals_adj
Col5a2,244.53036,inf,0.0,0.0
Fn1,242.14217,inf,0.0,0.0
Cthrc1,241.6002,inf,0.0,0.0
Postn,234.35037,inf,0.0,0.0
Lox,226.44725,785.2349,0.0,0.0
Csrp2,205.67177,inf,0.0,0.0
Ptn,205.53163,inf,0.0,0.0
Col5a1,203.93439,684.5572,0.0,0.0
Tagln,195.65088,inf,0.0,0.0
Palld,190.102,388.8859,0.0,0.0
Acta2,188.49709,inf,0.0,0.0
Ppic,184.91183,571.8162,0.0,0.0
Ddah1,183.54826,702.3351,0.0,0.0
Col14a1,175.24591,454.9364,0.0,0.0
Actn1,173.35681,328.4544,0.0,0.0
Sfrp2,171.0547,inf,0.0,0.0
Ltbp2,168.96407,339.8214,0.0,0.0
Timp1,166.9102,inf,0.0,0.0
Plod2,164.59576,284.25128,0.0,0.0
Ccn4,164.5393,208.78389,0.0,0.0
Fbn1,161.14125,inf,0.0,0.0
C1qtnf6,160.24011,240.80446,0.0,0.0
Tnc,156.56609,320.97867,0.0,0.0
Tpm2,155.57053,509.05573,0.0,0.0
Ckap4,154.39708,385.14743,0.0,0.0
Runx1,153.6035,238.2811,0.0,0.0
P4ha3,152.9386,130.59586,0.0,0.0
Marcksl1,152.05363,195.31099,0.0,0.0
Mfap4,151.65193,inf,0.0,0.0
Mdk,150.07607,316.5484,0.0,0.0
Col16a1,147.31125,186.4228,0.0,0.0
Mmp14,146.30525,326.35666,0.0,0.0
Aspn,146.17528,inf,0.0,0.0
Thbs2,143.07774,345.83795,0.0,0.0
Rcn3,141.4836,inf,0.0,0.0
Maged1,139.87248,309.96698,0.0,0.0
Bmp1,138.86198,257.70505,0.0,0.0
Cdh2,136.31628,115.032104,0.0,0.0
Myl9,136.28055,290.22012,0.0,0.0
Loxl3,136.19513,178.37445,0.0,0.0
Tspan6,135.32552,186.89604,0.0,0.0
Ccn2,134.59888,inf,0.0,0.0
Ecrg4,134.19302,268.66977,0.0,0.0
Col8a1,134.09846,inf,0.0,0.0
Adamts2,133.86818,369.63254,0.0,0.0
Phldb2,133.34177,129.54785,0.0,0.0
Dpysl3,133.186,237.90475,0.0,0.0
Aebp1,131.56924,386.2378,0.0,0.0
Col12a1,131.30246,129.57527,0.0,0.0
Pdgfrl,129.96378,273.78363,0.0,0.0
Foxp1,129.07831,149.96799,0.0,0.0
Pdia6,128.6439,inf,0.0,0.0
Fndc1,127.99589,241.85666,0.0,0.0
Rrbp1,127.9003,416.88965,0.0,0.0
Ssr2,126.45942,306.42032,0.0,0.0
Pmepa1,126.350525,497.28314,0.0,0.0
Efemp2,126.29734,213.7048,0.0,0.0
Rcn1,125.37226,247.46202,0.0,0.0
Rflnb,124.084,244.30237,0.0,0.0
Sfrp1,123.77063,694.51166,0.0,0.0
Gxylt2,122.86966,242.39139,0.0,0.0
Cnn3,122.613266,298.91327,0.0,0.0
Cnn2,121.23259,203.16266,0.0,0.0
Thbs1,120.98603,331.31046,0.0,0.0
Enpp1,120.97775,117.65338,0.0,0.0
Serf1,120.9317,134.51398,0.0,0.0
Lbh,120.37905,179.29262,0.0,0.0
Pdia5,119.346306,88.26074,0.0,0.0
Synpo,118.45223,91.40118,0.0,0.0
Itgb1,118.2034,334.47037,0.0,0.0
Ctsk,118.08947,153.08894,0.0,0.0
Fkbp11,117.96602,167.9308,0.0,0.0
Ctsd,117.84816,388.03558,0.0,0.0
Pxdn,117.68566,115.25977,0.0,0.0
Marcks,117.338905,409.14563,0.0,0.0
Vmp1,117.09039,157.53647,0.0,0.0
Maged2,117.07949,258.394,0.0,0.0
P4hb,116.55022,230.4499,0.0,0.0
Tgfb3,116.506935,147.26544,0.0,0.0
Eef1b2,115.34272,inf,0.0,0.0
Loxl2,115.06866,276.29813,0.0,0.0
Dclk1,114.948616,159.46753,0.0,0.0
Myh9,114.40863,117.99673,0.0,0.0
Hdlbp,114.04208,212.39346,0.0,0.0
Hif1a,113.971344,116.51876,0.0,0.0
Mfap2,113.931435,253.30492,0.0,0.0
Nedd4,113.3903,391.01242,0.0,0.0
Rbp1,112.53665,inf,0.0,0.0
Sox4,111.84981,142.30214,0.0,0.0
Tmem176b,111.84363,174.69409,0.0,0.0
Gpx7,110.84483,190.75731,0.0,0.0
Mmp23,110.351814,245.50487,0.0,0.0
Tmem45a,110.00892,177.61841,0.0,0.0
Sec61b,108.94675,398.1228,0.0,0.0
Picalm,108.64663,126.29026,0.0,0.0
Nedd9,108.51986,122.29081,0.0,0.0
Tmem167,108.369156,220.52718,0.0,0.0
Fbn2,107.25267,78.68376,0.0,0.0
P3h1,106.96887,101.352104,0.0,0.0
Pdlim3,106.20636,192.04675,0.0,0.0
