analysis,gene_symbol,rank,total_genes,logFC,padj,mean_effect
DEG_PERIHEART_full,PDE1A,1,84,0.99456173,2.3165187785084738e-269,
DEG_PERIHEART_full,CCBE1,2,84,1.2418512,1.0403855563815346e-209,
DEG_PERIHEART_full,MUSK,3,84,1.4188539,5.479267044758776e-140,
DEG_PERIHEART_full,SLC40A1,4,84,0.9294395,3.609215730757241e-129,
DEG_PERIHEART_full,GAS1,5,84,0.78159964,3.690476941998838e-109,
DEG_PERIHEART_full,PLXNA4,6,84,0.4828316,5.106939475400791e-105,
DEG_PERIHEART_full,LPAR1,7,84,0.433946,1.1107665036678944e-99,
DEG_PERIHEART_full,KCNJ10,8,84,1.5546049,1.1411842589730036e-96,
DEG_PERIHEART_full,CRLF3,9,84,0.9176876,5.802666474631138e-91,
DEG_PERIHEART_full,LRP1,10,84,0.61003184,8.153756704530794e-85,
DEG_PERIHEART_full,PTPRS,11,84,0.59212315,2.0519317501374447e-81,
DEG_PERIHEART_full,TGFBR2,12,84,0.43700796,1.8781900602161075e-69,
DEG_PERIHEART_full,DPP4,13,84,0.55104744,5.787944355486001e-64,
DEG_PERIHEART_full,ROR2,14,84,0.291686,6.630197879090922e-61,
DEG_PERIHEART_full,ALK,15,84,0.8658754,4.7080061315380884e-58,
DEG_PERIHEART_full,ROBO1,16,84,0.39900184,9.527904649562959e-55,
DEG_PERIHEART_full,TNFRSF8,17,84,0.45961785,1.7741013162528098e-49,
DEG_PERIHEART_full,GFRA1,18,84,0.76582986,2.204147077698449e-47,
DEG_PERIHEART_full,KDR,19,84,0.35492796,4.37586898032551e-47,
DEG_PERIHEART_full,VIPR2,20,84,0.41848126,2.1344276354517417e-44,
DEG_PERIHEART_full,SEMA4D,21,84,0.44274485,1.67827034820161e-43,
DEG_PERIHEART_full,AQP1,22,84,0.30013496,2.3068797240662718e-42,
DEG_PERIHEART_full,TNFRSF11B,23,84,0.70796067,5.791372383570771e-42,
DEG_PERIHEART_full,MAGED1,24,84,0.36277083,1.9316188012735572e-40,
DEG_PERIHEART_full,RACK1,25,84,0.35832804,1.0907248122582998e-39,
