overall_rank,gene_symbol,mean_rank,DEG_PERIHEART_full,DEG_bootstrap_100x200,Geneformer_embedding
1,PLXNA4,5.333333333333333,6,3,7
2,CCBE1,6.666666666666667,2,2,16
3,PDE1A,7.333333333333333,1,1,20
4,LPAR1,8.333333333333334,7,10,8
5,TGFBR2,9.333333333333334,12,5,11
6,ROR2,9.666666666666666,14,11,4
7,ROBO1,11.666666666666666,16,13,6
8,AQP1,13.333333333333334,22,15,3
9,ALK,13.666666666666666,15,24,2
10,DPP4,14.0,13,14,15
11,GAS1,16.333333333333332,5,6,38
12,MUSK,18.666666666666668,3,8,45
13,KDR,21.666666666666668,19,19,27
14,RACK1,21.666666666666668,25,21,19
15,VIPR2,22.666666666666668,20,17,31
16,KCNJ10,22.666666666666668,8,18,42
17,SEMA4D,23.0,21,22,26
18,MAGED1,23.0,24,20,25
19,PTPRS,23.333333333333332,11,7,52
20,SLC40A1,24.333333333333332,4,4,65
21,CRLF3,25.666666666666668,9,12,56
22,KREMEN1,25.666666666666668,28,25,24
23,RPSA,28.666666666666668,40,37,9
24,LRP1,29.0,10,9,68
25,TNFRSF8,29.333333333333332,17,16,55
26,TNFRSF11B,30.0,23,28,39
27,PROCR,31.0,30,26,37
28,DDR2,31.666666666666668,48,33,14
29,TNFRSF1A,32.333333333333336,46,46,5
30,GFRA1,33.333333333333336,18,35,47
31,FGFR1,35.333333333333336,26,23,57
32,PLXDC2,37.333333333333336,61,50,1
33,GHR,38.333333333333336,50,43,22
34,SLC16A1,39.333333333333336,45,32,41
35,ABCA1,39.666666666666664,43,53,23
36,DCBLD2,40.0,41,36,43
37,PDPN,40.333333333333336,60,49,12
38,FGFR2,41.333333333333336,29,34,61
39,ITGA3,42.333333333333336,32,31,64
40,MMP24,42.666666666666664,27,29,72
41,KCNQ1,43.0,31,27,71
42,INSR,43.666666666666664,63,55,13
43,ADCY9,44.666666666666664,52,54,28
44,VSIR,46.333333333333336,35,38,66
45,EPHB6,46.666666666666664,38,42,60
46,ESR1,47.333333333333336,33,30,79
47,MPZL1,47.666666666666664,47,47,49
48,PGRMC2,49.333333333333336,64,66,18
49,CDH2,50.0,56,84,10
50,PLD1,50.333333333333336,62,56,33
51,PLXNB2,50.666666666666664,51,48,53
52,KLRD1,51.0,36,40,77
53,GPNMB,51.0,34,39,80
54,APLP2,52.333333333333336,44,44,69
55,CD47,53.0,53,52,54
56,FLOT1,53.333333333333336,37,45,78
57,PTK7,53.333333333333336,39,51,70
58,ERAP1,55.0,69,67,29
59,DSC3,55.333333333333336,42,41,83
60,BEX3,55.666666666666664,77,73,17
61,IL1R1,55.666666666666664,72,65,30
62,LRP10,55.666666666666664,59,62,46
63,CD44,57.666666666666664,54,57,62
64,IL1RAPL1,58.0,79,74,21
65,HLA-C,58.333333333333336,57,83,35
66,PTPRF,58.333333333333336,71,64,40
67,SDC4,62.333333333333336,55,59,73
68,PTPRM,63.0,76,81,32
69,SLC16A7,63.333333333333336,68,63,59
70,ADGRE5,63.666666666666664,49,58,84
71,CACNA1C,63.666666666666664,75,80,36
72,ITGB1,64.0,58,60,74
73,MCFD2,64.33333333333333,73,69,51
74,ENG,64.33333333333333,82,77,34
75,CD63,65.33333333333333,66,82,48
76,CD81,66.66666666666667,78,72,50
77,EPHA4,67.66666666666667,67,61,75
78,CAV1,68.0,84,76,44
79,ENO1,69.33333333333333,74,71,63
80,CD82,71.66666666666667,65,68,82
81,NCL,72.0,70,70,76
82,ATP5F1B,72.33333333333333,80,79,58
83,PDE1C,76.0,83,78,67
84,CD36,79.0,81,75,81
