,feature_is_filtered,feature_name,feature_reference,feature_biotype,feature_length,feature_type,ensembl_id
ENSG00000177613,False,CSTF2T,NCBITaxon:9606,gene,4110,protein_coding,ENSG00000177613
ENSG00000128918,False,ALDH1A2,NCBITaxon:9606,gene,572,protein_coding,ENSG00000128918
ENSG00000143977,False,SNRPG,NCBITaxon:9606,gene,515,protein_coding,ENSG00000143977
ENSG00000196177,False,ACADSB,NCBITaxon:9606,gene,1091,protein_coding,ENSG00000196177
ENSG00000244482,False,LILRA6,NCBITaxon:9606,gene,1816,protein_coding,ENSG00000244482
ENSG00000234426,False,ENSG00000234426,NCBITaxon:9606,gene,685,lncRNA,ENSG00000234426
ENSG00000158578,False,ALAS2,NCBITaxon:9606,gene,664,protein_coding,ENSG00000158578
ENSG00000133393,False,CEP20,NCBITaxon:9606,gene,735,protein_coding,ENSG00000133393
ENSG00000149091,False,DGKZ,NCBITaxon:9606,gene,2345,protein_coding,ENSG00000149091
ENSG00000158516,False,CPA2,NCBITaxon:9606,gene,904,protein_coding,ENSG00000158516
ENSG00000253361,False,ENSG00000253361,NCBITaxon:9606,gene,572,lncRNA,ENSG00000253361
ENSG00000259134,False,LINC00924,NCBITaxon:9606,gene,1229,lncRNA,ENSG00000259134
ENSG00000229642,False,ENSG00000229642,NCBITaxon:9606,gene,979,lncRNA,ENSG00000229642
ENSG00000213316,False,LTC4S,NCBITaxon:9606,gene,535,protein_coding,ENSG00000213316
ENSG00000285632,False,ENSG00000285632,NCBITaxon:9606,gene,933,lncRNA,ENSG00000285632
ENSG00000287548,False,ENSG00000287548,NCBITaxon:9606,gene,1356,lncRNA,ENSG00000287548
ENSG00000235427,False,ENSG00000235427,NCBITaxon:9606,gene,386,lncRNA,ENSG00000235427
ENSG00000247081,False,BAALC-AS1,NCBITaxon:9606,gene,952,lncRNA,ENSG00000247081
ENSG00000205978,False,NYNRIN,NCBITaxon:9606,gene,4030,protein_coding,ENSG00000205978
ENSG00000119888,False,EPCAM,NCBITaxon:9606,gene,1126,protein_coding,ENSG00000119888
ENSG00000167695,False,TLCD3A,NCBITaxon:9606,gene,867,protein_coding,ENSG00000167695
ENSG00000124839,False,RAB17,NCBITaxon:9606,gene,937,protein_coding,ENSG00000124839
ENSG00000283627,False,ENSG00000283627,NCBITaxon:9606,gene,705,lncRNA,ENSG00000283627
ENSG00000242242,False,NECTIN3-AS1,NCBITaxon:9606,gene,1018,lncRNA,ENSG00000242242
